Time_s,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,ElectrolyteConcentration_input_molL,FluidConductivity_input_S_m,cH_molL,pH,C_molL,zeta,omega0_rad_s,theta_deg,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,RE_abs_norm,TTM_abs_norm,L_abs_norm,sigma_abs_norm,Amax_waveform_schakel2011,Amax_waveform_schakel2011_RE,Amax_waveform_schakel2011_TE,Amax_waveform_schakel2011_RE_fixed_receiver_z_m,Amax_waveform_schakel2011_TE_fixed_receiver_z_m,Amax_waveform_schakel2011_RE_fixed_receiver_distance_m,Amax_waveform_schakel2011_TE_fixed_receiver_distance_m,Amax_waveform_spectral,Amax_waveform_spectral_RE,Amax_waveform_spectral_TE,Amax_waveform_schakel2011_norm,Amax_waveform_schakel2011_RE_norm,Amax_waveform_schakel2011_TE_norm,Amax_waveform_spectral_norm,Amax_waveform_spectral_RE_norm,Amax_waveform_spectral_TE_norm
102.4,1.7066666666666668,0.5527,0.5527,True,19802.5074415921,1.9543555992530635e-11,1.22660304735036,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23055.887155955254,1.862747866101359e-05,1.2416274473109072e-09,0.00570927768650223,1446876916.0744033,50505545.48351238,1447758136.0135963,-8.1050234837402e-08,3.9961018929340503e-07,4.077467890177788e-07,1.40805709216808e+27,0.9785046237061436,0.9764562606137223,0.9861165219063032,1.0074903373583797,0.8032995932764971,0.8032995932764971,0.42060590883966953,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.8032995932764971,0.8032995932764971,0.42060590883966953,0.9831820477026123,0.9831820477026123,0.9392553908251903,0.9831820477026123,0.9831820477026123,0.9392553908251903
204.8,3.4133333333333336,0.56015,0.56015,True,20513.3814918231,2.0245134156068977e-11,1.2301251315222,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,22492.327065985493,1.8859396814894152e-05,1.239329580942726e-09,0.005769506556925589,1430432643.1292686,57721680.88755521,1431596779.4648988,-8.743642442927048e-08,3.9727990341719384e-07,4.0678796685269635e-07,1.384906156113379e+27,0.9675815546417156,0.9741601103284797,0.9842915268196499,1.0181186529375994,0.7973971270465838,0.7973971270465838,0.3993501427790583,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.7973971270465838,0.7973971270465838,0.3993501427790583,0.9759578453215908,0.9759578453215908,0.8917891226654662,0.9759578453215908,0.9759578453215908,0.8917891226654662
409.6,6.826666666666667,0.5718,0.5718,True,21430.1443872753,2.114990881816622e-11,1.2319199734279,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,21945.887826952217,1.9092746923624726e-05,1.2478213879254942e-09,0.00588075896678847,1416037080.976456,70463937.47295158,1417789187.8500533,-9.761979603510753e-08,4.0119396111221e-07,4.1289976872219416e-07,1.3324725847645627e+27,0.9582493382298124,0.9887964173696163,0.9910358293756888,1.037750861090599,0.793563989818652,0.793563989818652,0.37209701460399236,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.793563989818652,0.793563989818652,0.37209701460399236,0.9712663556950226,0.9712663556950226,0.8309301403798938,0.9712663556950226,0.9712663556950226,0.8309301403798938
819.2,13.653333333333334,0.58865,0.58865,True,22801.1420343216,2.250297834028139e-11,1.22062746622211,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,21430.584099843407,1.932092832708488e-05,1.2811643618080217e-09,0.0061099038966607126,1408574836.9651008,94907672.95413193,1411768585.0438905,-1.188386075925105e-07,4.171912886239213e-07,4.337870283424975e-07,1.2264842309029093e+27,0.9541801587606851,1.0388164199119787,1.0175172489885218,1.0781870275161252,0.7958194246438994,0.7958194246438994,0.34005087290749475,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.7958194246438994,0.7958194246438994,0.34005087290749475,0.9740268488516316,0.9740268488516316,0.7593678757730574,0.9740268488516316,0.9740268488516316,0.7593678757730574
1269.2,21.153333333333332,0.6039,0.6039,True,24448.1162310331,2.412841554951475e-11,1.20379736595142,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,20791.35707079853,1.9615689346261996e-05,1.3127029106333765e-09,0.006355617189818246,1395973528.8112414,119080995.0992215,1401043317.1517327,-1.3856237941615723e-07,4.3310609322911617e-07,4.547311524204769e-07,1.1295011504044644e+27,0.9469312102230096,1.0889725992611234,1.042565570963836,1.1215469378602978,0.7961937182412153,0.7961937182412153,0.3171592591142026,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.7961937182412153,0.7961937182412153,0.3171592591142026,0.9744849578168684,0.9744849578168684,0.7082485947354867,0.9744849578168684,0.9744849578168684,0.7082485947354867
1719.2,28.653333333333332,0.6176,0.6176,True,26601.378262903,2.6253520019772498e-11,1.19961590465876,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,19609.997183158008,2.0197900473470525e-05,1.3083272777222317e-09,0.0065220508724624544,1356032469.1039891,132192612.38588738,1362460621.0946672,-1.5241142656546745e-07,4.300265867649511e-07,4.562368992885548e-07,1.0836201097263161e+27,0.9208541013829645,1.0925785036994538,1.0390903869085688,1.1509167349313771,0.779772816450364,0.779772816450364,0.29888861967595215,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.779772816450364,0.779772816450364,0.29888861967595215,0.9543869321450247,0.9543869321450247,0.6674484152193649,0.9543869321450247,0.9543869321450247,0.6674484152193649
2169.2,36.15333333333333,0.63155,0.63155,True,29142.1510259923,2.876106785967071e-11,1.20661132634772,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,18198.489189134292,2.0966566986488547e-05,1.2813552889436475e-09,0.006630192279312014,1300360077.1613793,137187340.13502312,1307576650.3606858,-1.5853142544080718e-07,4.180272424461443e-07,4.4707827981173693e-07,1.065432532388152e+27,0.8837593562078983,1.0706457955394206,1.0176688857804825,1.1699999584934142,0.7513500977318034,0.7513500977318034,0.28330558625899316,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.7513500977318034,0.7513500977318034,0.28330558625899316,0.9195995290081589,0.9195995290081589,0.6326499308550687,0.9195995290081589,0.9195995290081589,0.6326499308550687
2619.2,43.65333333333333,0.64575,0.64575,True,31134.7397674249,3.0727600115908216e-11,1.20564024916211,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,17430.82868046343,2.1423280605083147e-05,1.2832660399478959e-09,0.006784436586877359,1267779841.2196295,146773477.56952104,1276247695.2068198,-1.7197797660345107e-07,4.250363353571828e-07,4.5851097130873617e-07,1.0163967672619491e+27,0.862584874979735,1.0980243635345286,1.019186428855597,1.1972187518325457,0.7335842548200755,0.7335842548200755,0.2764571960765147,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.7335842548200755,0.7335842548200755,0.2764571960765147,0.8978553902592882,0.8978553902592882,0.617356785271089,0.8978553902592882,0.8978553902592882,0.617356785271089
3069.2,51.15333333333333,0.6596,0.6596,True,32748.0292035543,3.2319793050068184e-11,1.18435844849789,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,17231.73127741095,2.1546688683854712e-05,1.3267002337807582e-09,0.0070543935761273715,1259677467.0641422,166912654.85417217,1270687670.2713382,-2.0033827071765695e-07,4.5776903712081125e-07,4.99687816602182e-07,9.227737630876761e+26,0.8588269889268405,1.1966330821364908,1.0536824254180355,1.244856837262294,0.7293044045557044,0.7293044045557044,0.27850679475452694,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.7293044045557044,0.7293044045557044,0.27850679475452694,0.8926171553815362,0.8926171553815362,0.6219337457152776,0.8926171553815362,0.8926171553815362,0.6219337457152776
3519.2,58.65333333333333,0.6743,0.6743,True,34099.1326719156,3.365322854370476e-11,1.1743870324438,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,17061.420140206086,2.165396371256331e-05,1.3610066379547303e-09,0.007272770645590466,1244932267.565374,180505829.69334394,1257950199.8802443,-2.295228014314919e-07,4.942695878933583e-07,5.449615967141449e-07,8.486390220677665e+26,0.8502180415053296,1.305052981992643,1.0809290137859213,1.2833928482019714,0.7205598832924606,0.7205598832924606,0.2788171798892204,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.7205598832924606,0.7205598832924606,0.2788171798892204,0.8819144780818904,0.8819144780818904,0.6226268670073609,0.8819144780818904,0.8819144780818904,0.6226268670073609
