z_m,z_mm,offset_D_mm,r_mm,theta_deg,current_signed_peak,current_peak_abs,current_signed_norm,current_abs_norm,current_signed_side_norm,current_abs_side_norm,dipole_signed,dipole_abs,dipole_signed_norm,dipole_abs_norm,dipole_signed_side_norm,dipole_abs_side_norm,side,without_dipole_signed_peak,without_dipole_peak_abs,without_dipole_signed_norm,without_dipole_abs_norm,without_dipole_signed_side_norm,without_dipole_abs_side_norm,snapshot_index,snapshot_Time_s,snapshot_Porosity
-0.017499999999999946,-17.499999999999947,45.0,48.28301978956989,111.25050550713318,1.5696381602702824e+16,1.5696381602702824e+16,0.9700998117793567,0.9700998117793567,0.9700998117793567,0.9700998117793567,-155.47292703697494,155.47292703697494,-0.8182044155746117,0.8182044155746117,-0.8182044155746117,0.8182044155746117,fluid/reflected,-1.918393656147591e+16,1.918393656147591e+16,-0.4413164217204035,0.4413164217204035,-0.4413164217204035,0.4413164217204035,24,5769.2,0.75115
-0.01999999999999995,-19.999999999999947,45.0,49.2442890089805,113.96248897457814,1.4856585090071484e+16,1.4856585090071484e+16,0.91819699369953,0.91819699369953,0.91819699369953,0.91819699369953,-167.4797798158545,167.4797798158545,-0.8813926512890983,0.8813926512890983,-0.8813926512890983,0.8813926512890983,fluid/reflected,-1.6855807758713094e+16,1.6855807758713094e+16,-0.38775903691322355,0.38775903691322355,-0.38775903691322355,0.38775903691322355,24,5769.2,0.75115
-0.02249999999999995,-22.49999999999995,45.0,50.31152949374525,116.56505117707795,1.3795967900412896e+16,1.3795967900412896e+16,0.8526465654479274,0.8526465654479274,0.8526465654479274,0.8526465654479274,-176.6769759999832,176.6769759999832,-0.9297945606901505,0.9297945606901505,-0.9297945606901505,0.9297945606901505,fluid/reflected,-1.4837651760591804e+16,1.4837651760591804e+16,-0.341332414269308,0.341332414269308,-0.341332414269308,0.341332414269308,24,5769.2,0.75115
-0.024999999999999953,-24.999999999999954,45.0,51.478150704934976,119.05460409907708,1.2619183551995872e+16,1.2619183551995872e+16,0.7799165373561237,0.7799165373561237,0.7799165373561237,0.7799165373561237,-183.26148346363465,183.26148346363465,-0.9644467228628119,0.9644467228628119,-0.9644467228628119,0.9644467228628119,fluid/reflected,-1.3084375998020672e+16,1.3084375998020672e+16,-0.30099922283346875,0.30099922283346875,-0.30099922283346875,0.30099922283346875,24,5769.2,0.75115
-0.027499999999999955,-27.499999999999954,45.0,52.73755777432244,121.42956561483848,1.140406734243209e+16,1.140406734243209e+16,0.7048174453472437,0.7048174453472437,0.7048174453472437,0.7048174453472437,-187.4876438486202,187.4876438486202,-0.9866876567271323,0.9866876567271323,-0.9866876567271323,0.9866876567271323,fluid/reflected,-1.1557930480512616e+16,1.1557930480512616e+16,-0.2658841424859565,0.2658841424859565,-0.2658841424859565,0.2658841424859565,24,5769.2,0.75115
-0.029999999999999957,-29.999999999999957,45.0,54.08326913195982,123.69006752597976,1.0205921325386466e+16,1.0205921325386466e+16,0.63076717981216,0.63076717981216,0.63076717981216,0.63076717981216,-189.64109272657407,189.64109272657407,-0.99802057117234,0.99802057117234,-0.99802057117234,0.99802057117234,fluid/reflected,-1.0226163287794684e+16,1.0226163287794684e+16,-0.23524753512586166,0.23524753512586166,-0.23524753512586166,0.23524753512586166,24,5769.2,0.75115
-0.03249999999999996,-32.49999999999996,45.0,55.50900827793627,125.83765295427827,9061860549913982.0,9061860549913982.0,0.5600596007635663,0.5600596007635663,0.5600596007635663,0.5600596007635663,-190.01721828620154,190.01721828620154,-1.0,1.0,-1.0,1.0,fluid/reflected,-9061860549913984.0,9061860549913984.0,-0.20846335991582604,0.20846335991582604,-0.20846335991582604,0.20846335991582604,24,5769.2,0.75115
-0.03499999999999996,-34.999999999999964,45.0,57.008771254956876,127.87498365109819,7994864153940511.0,7994864153940511.0,0.4941149117834718,0.4941149117834718,0.4941149117834718,0.4941149117834718,-188.9048041584371,188.9048041584371,-0.9941457193311348,0.9941457193311348,-0.9941457193311348,0.9941457193311348,fluid/reflected,-8041943950952669.0,8041943950952669.0,-0.1850007122749488,0.1850007122749488,-0.1850007122749488,0.1850007122749488,24,5769.2,0.75115
-0.037499999999999964,-37.499999999999964,45.0,58.57687256929989,129.80557109226518,7017323264550694.0,7017323264550694.0,0.43369893459797876,0.43369893459797876,0.43369893459797876,0.43369893459797876,-186.57468842680655,186.57468842680655,-0.9818830635957954,0.9818830635957954,-0.9818830635957954,0.9818830635957954,fluid/reflected,-7146801411211083.0,7146801411211083.0,-0.1644084265726613,0.1644084265726613,-0.1644084265726613,0.1644084265726613,24,5769.2,0.75115
-0.039999999999999966,-39.999999999999964,45.0,60.207972893961454,131.63353933657018,-6237590905544392.0,6237590905544392.0,-0.3855083239301012,0.3855083239301012,-0.3855083239301012,0.3855083239301012,-183.27278312549518,183.27278312549518,-0.9645061893783332,0.9645061893783332,-0.9645061893783332,0.9645061893783332,fluid/reflected,6467134139973528.0,6467134139973528.0,0.14877303666497324,0.14877303666497324,0.14877303666497324,0.14877303666497324,24,5769.2,0.75115
-0.04249999999999997,-42.49999999999997,45.0,61.89709201569971,133.36342295838327,-5550309726925977.0,5550309726925977.0,-0.3430315698033787,0.3430315698033787,-0.3430315698033787,0.3430315698033787,-179.21658282902885,179.21658282902885,-0.9431597012387325,0.9431597012387325,-0.9431597012387325,0.9431597012387325,fluid/reflected,5884803729035794.0,5884803729035794.0,0.13537683029249756,0.13537683029249756,0.13537683029249756,0.13537683029249756,24,5769.2,0.75115
-0.04499999999999997,-44.99999999999997,45.0,63.63961030678926,134.99999999999997,-4916642897346237.0,4916642897346237.0,-0.3038683991016498,0.3038683991016498,-0.3038683991016498,0.3038683991016498,-174.5942669596414,174.5942669596414,-0.9188339274426685,0.9188339274426685,-0.9188339274426685,0.9188339274426685,fluid/reflected,5350959243560382.0,5350959243560382.0,0.12309601726279405,0.12309601726279405,0.12309601726279405,0.12309601726279405,24,5769.2,0.75115
-0.04749999999999997,-47.49999999999997,45.0,65.43126164151197,136.54815769897795,-4340081949219956.0,4340081949219956.0,-0.2682346026373538,0.2682346026373538,-0.2682346026373538,0.2682346026373538,-169.56559040136108,169.56559040136108,-0.8923696069793187,0.8923696069793187,-0.8923696069793187,0.8923696069793187,fluid/reflected,4863547475480686.0,4863547475480686.0,0.11188336459872593,0.11188336459872593,0.11188336459872593,0.11188336459872593,24,5769.2,0.75115
-0.049999999999999975,-49.99999999999997,45.0,67.26812023536853,138.01278750418334,-3822624298085176.5,3822624298085176.5,-0.23625362876225392,0.23625362876225392,-0.23625362876225392,0.23625362876225392,-164.26389972313075,164.26389972313075,-0.864468500300423,0.864468500300423,-0.864468500300423,0.864468500300423,fluid/reflected,4421935902530546.0,4421935902530546.0,0.10172432145655654,0.10172432145655654,0.10172432145655654,0.10172432145655654,24,5769.2,0.75115
-0.05249999999999998,-52.49999999999998,45.0,69.14658342969663,139.3987053549955,-3358537035603631.0,3358537035603631.0,-0.20757116057448888,0.20757116057448888,-0.20757116057448888,0.20757116057448888,-158.7987665077745,158.7987665077745,-0.8357072476905425,0.8357072476905425,-0.8357072476905425,0.8357072476905425,fluid/reflected,4018796109385038.5,4018796109385038.5,0.09245030147666605,0.09245030147666605,0.09245030147666605,0.09245030147666605,24,5769.2,0.75115
