Time_s,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,ElectrolyteConcentration_input_molL,FluidConductivity_input_S_m,cH_molL,pH,C_molL,zeta,omega0_rad_s,theta_deg,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,RE_abs_norm,TTM_abs_norm,L_abs_norm,sigma_abs_norm,Amax_waveform_spectral,Amax_waveform_spectral_RE,Amax_waveform_spectral_TE,Amax_waveform_spectral_norm,Amax_waveform_spectral_RE_norm,Amax_waveform_spectral_TE_norm
175.6,2.9266666666666667,0.66145,0.66145,True,50840.39199458812,5.0175567440592494e-11,1.195991059049954,5.3420479586566036e-08,,,5.342047958656604e-05,4.272292217384202,0.001053420479586566,-0.02928300984063173,3141592.653589793,45.0,11022.415931941016,2.6940558572031008e-05,4.748516278654224e-10,0.007365792925053701,440317947.65971726,61921923.45190006,444650671.46609426,-2.541428428672161e-08,5.5747703680262905e-08,6.126738374884881e-08,2.508801956116629e+27,0.3005286048169213,0.14673149825563256,0.3771332785584408,1.2998080679109356,2898142954788371.0,2898142954788371.0,2581230722575065.5,0.27916549149748743,0.28248845473088835,0.24863871609421764
200.6,3.3433333333333333,0.67885,0.67885,True,62735.47609042153,6.191510309022992e-11,1.1863765055452788,1.1558405077691937e-07,,,0.00011558405077691937,3.93710208924984,0.0011155840507769193,-0.024722243169920312,3141592.653589793,45.0,9241.759964409352,2.94216924409551e-05,3.7992201788712074e-10,0.008069806099312193,326109515.5904251,53937159.717831284,330539911.8972602,-1.856732862166768e-08,3.36594130520652e-08,3.844088681540187e-08,2.83714598754013e+27,0.22340390993059897,0.09206348584788543,0.3017389596965134,1.4240420795275606,2140991898030663.0,2140991898030663.0,1827447092236566.2,0.2062324270506916,0.20868725328637144,0.17603002117165345
225.6,3.76,0.6958,0.6958,True,79396.89201207475,7.835864267430045e-11,1.168437619391332,2.385375105729968e-07,,,0.00023853751057299681,3.62244331744597,0.001238537510572997,-0.02033806386352031,3141592.653589793,45.0,7599.62195344489,3.244509119375077e-05,2.951307585124977e-10,0.009323357989292519,224737951.50430465,45095796.49975607,229217751.73031121,-1.1378700799437985e-08,1.874057152307706e-08,2.192450348114405e-08,3.167021863690201e+27,0.15492271922057502,0.05250779529751904,0.23439664945784344,1.6452506957241053,1484706110832932.0,1484706110832932.0,1180785755803109.2,0.14301527482458667,0.1447176145282069,0.1137399503800798
250.6,4.176666666666667,0.7119,0.7119,True,100120.42549204058,9.881118072400882e-11,1.1589254484613862,5.241651297827346e-07,,,0.0005241651297827346,3.280531873978234,0.0015241651297827345,-0.01547502267420307,3141592.653589793,45.0,6216.664135520299,3.5872883836268236e-05,2.09733408677997e-10,0.011834891781388178,131284004.37768894,32624117.75972149,135276837.87345573,-5.636703704933457e-09,7.659754893985131e-09,9.510219434541966e-09,3.624869033181279e+27,0.09143033387559951,0.022776372369521937,0.16657297436998014,2.088449672265125,873393310046665.0,873393310046665.0,616709220478854.5,0.08413017455434632,0.08513159301536055,0.059404913881683785
275.6,4.593333333333334,0.7285,0.7285,True,132920.97677315387,1.311828090361844e-10,1.144492123086898,9.480164425225264e-07,,,0.0009480164425225263,3.0231841301356943,0.0019480164425225263,-0.011819860835594529,3141592.653589793,45.0,4852.21260636634,4.0604585603251925e-05,1.4681943949717963e-10,0.015673757432922604,70646110.24671501,21556405.041073684,73861705.17450729,-2.3513547772640773e-09,3.2086631118487656e-09,3.977987965530012e-09,4.008271687591226e+27,0.049921335173753516,0.009527028877515302,0.11660588976516374,2.765876881563741,486900033824573.7,486900033824573.7,300132170167375.7,0.0469009601573315,0.047459231759519896,0.028910425091539783
300.6,5.010000000000001,0.7445,0.7445,True,176336.07287132245,1.7403017894720605e-10,1.1359632484967654,1.7577863076105531e-06,,,0.001757786307610553,2.755033922815413,0.0027577863076105533,-0.008152249964800538,3141592.653589793,45.0,3765.96131354329,4.60900380144442e-05,9.198147571284786e-11,0.022846716842117584,29601850.79815914,11323112.714625413,31693571.149755068,-9.75611967532333e-10,8.419420248235564e-10,1.2886757095391765e-09,4.4267161969219335e+27,0.021420916082048488,0.003086296591371533,0.07305287265870171,4.0316564935803685,222805486539549.78,222805486539549.78,113485727709499.83,0.0214618823600067,0.021717347480782634,0.010931586001176394
325.6,5.426666666666667,0.76035,0.76035,True,225851.04156803226,2.2289765525275959e-10,1.1260391784459256,2.669721987518698e-06,,,0.002669721987518698,2.573533961696446,0.003669721987518698,-0.005836760024732221,3141592.653589793,45.0,3029.3855466120576,5.13887103737017e-05,6.091364194046854e-11,0.031322512712383205,10816156.334558371,4058118.7936354713,11552383.563441122,-6.850950640289845e-10,4.833431204507405e-10,8.384365323886701e-10,4.233083687847258e+27,0.007807975872798449,0.0020080023180679453,0.04837839894792252,5.527341746510165,112487728001200.03,112487728001200.03,48898473129740.625,0.01083545303484996,0.010964429620956317,0.0047101769987524765
350.6,5.843333333333334,0.7745,0.7745,True,282982.5846930117,2.792821063277566e-10,1.1186813589124798,3.604277248926728e-06,,,0.003604277248926728,2.443181809522092,0.0046042772489267286,-0.004291858029010622,3141592.653589793,45.0,2478.9736446022907,5.680793970882746e-05,4.157150091949044e-11,0.04029401422648552,3976575.8648880385,-1952090.530863349,4429877.317702647,2.2204400835224458e-11,6.657116894558427e-10,6.660818935345741e-10,4.456023909801264e+27,0.0029940466420746593,0.0015952238894338816,0.0330166214378146,7.110501925998967,61365391109352.52,61365391109352.52,23483677275788.12,0.005911060923227955,0.0059814214753610845,0.0022620803773782407
375.6,6.260000000000001,0.7882,0.7882,True,361570.82845986314,3.568426752073421e-10,1.1139567954643599,4.51694497563218e-06,,,0.004516944975632179,2.345155199880241,0.005516944975632179,-0.0032070118652474102,3141592.653589793,45.0,1982.8565525105942,6.351837004963203e-05,2.8406992694756542e-11,0.04934365392435562,4510287.666582325,-9110703.698708588,10166002.986473443,3.073309243946047e-11,1.088727606225609e-09,1.0891612936239688e-09,3.1442681680196115e+27,0.00687095486444685,0.002608472219257946,0.022561199457434407,8.707450796360114,34787501165092.055,34787501165092.055,12009556126580.113,0.0033509285125762523,0.0033908152915091204,0.0011568282486562908
400.6,6.676666666666667,0.80135,0.80135,True,444655.53809463774,4.3884091101963564e-10,1.1090836248710265,5.638251107111853e-06,,,0.005638251107111853,2.2488555861436352,0.006638251107111853,-0.0022122593722446147,3141592.653589793,45.0,1646.4586956056291,6.970590554045752e-05,1.824223308033437e-11,0.06062847030665974,9601323.412550623,1544724.6863605222,9724792.318041775,-1.1439545664408563e-09,5.084577423145239e-10,1.2518631418012395e-09,1.3210093712253196e+27,0.006572751274251168,0.0029981328264396586,0.014488216457717473,10.698831157966662,18437636425061.004,18437636425061.004,5730576096898.144,0.0017760172341222515,0.0017971575259943498,0.0005520014428588264
