Time_s,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,cH_molL,pH,C_molL,zeta,omega0_rad_s,theta_deg,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,RE_abs_norm,TTM_abs_norm,L_abs_norm,sigma_abs_norm,Amax_proxy,Amax_proxy_norm
1269.2,21.153333333333332,0.6039,0.6039,True,24448.1162310331,2.412841554951475e-11,1.20379736595142,2.22044604925031e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,34428.476686203896,1.9615689346261996e-05,1.6892735106870496e-09,0.006354982943456163,-6551190547.085662,-738362490.5095735,6592668409.044704,-3.2038375347946075e-07,-3.2829091816929772e-06,3.298505486540479e-06,8.982577479757229e+26,1.0652670794089256,1.2356515599133713,0.9904111430536997,1.121546921125145,6592671707.550191,1.0652671529023205
1719.2,28.653333333333332,0.6176,0.6176,True,26601.378262903,2.6253520019772498e-11,1.19961590465876,2.22044604925031e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,31751.938444232524,2.0197900473470525e-05,1.6648607780703646e-09,0.006521399980226004,-6564253256.621569,-849556457.1381987,6619000452.555663,-2.0943103215613623e-07,-3.4082174964894218e-06,3.4146460813101268e-06,8.565792629446959e+26,1.0695219057319518,1.2791589324740569,0.9760981012265526,1.150916711236726,6619003867.201744,1.0695219961564832
2169.2,36.15333333333333,0.63155,0.63155,True,29142.1510259923,2.876106785967071e-11,1.20661132634772,2.22044604925031e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,28815.59526424558,2.0966566986488547e-05,1.6124266201084157e-09,0.006629530548298176,-6605224465.173685,-916599960.7335806,6668519005.247402,-1.392265562961274e-07,-3.5107173664510283e-06,3.513476976028009e-06,8.352399872175259e+26,1.0775232916245163,1.3161819265918768,0.945356262209003,1.1699999262161989,6668522518.724379,1.0775233945671863
2619.2,43.65333333333333,0.64575,0.64575,True,31134.7397674249,3.0727600115908216e-11,1.20564024916211,2.22044604925031e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,26993.15320242111,2.1423280605083147e-05,1.596974934716378e-09,0.006783759434798712,-6739288169.481098,-967061844.0670723,6808319443.266327,-4.171685048091165e-08,-3.7584272815938155e-06,3.7586587935915018e-06,7.919814106620858e+26,1.1001127493476128,1.4080293697963668,0.9362970297671174,1.1972187141094617,6808323201.92512,1.1001128821639217
3069.2,51.15333333333333,0.6596,0.6596,True,32748.0292035543,3.2319793050068184e-11,1.18435844849789,2.22044604925031e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,26124.516794134248,2.1546688683854712e-05,1.6335997180240051e-09,0.00705368947246904,-6870598234.901871,-994626179.1086485,6942218762.15414,4.38762371574162e-08,-4.1665765945860355e-06,4.166807608078307e-06,7.173290615934786e+26,1.1217486830115562,1.5609258016365826,0.957769925227988,1.2448567967545277,6942222928.961748,1.121748872445578
3519.2,58.65333333333333,0.6743,0.6743,True,34099.1326719156,3.365322854370476e-11,1.1743870324438,2.22044604925031e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,25302.41752959526,2.165396371256331e-05,1.6574727610341157e-09,0.007272044739124232,-7123335272.269018,-956419818.2447721,7187255684.187345,1.0126906953583151e-07,-4.720962680726511e-06,4.7220487139860275e-06,6.56583988259594e+26,1.161342630421917,1.7689244062902545,0.9717665502068509,1.2833928053020824,7187260406.236058,1.1613428924953597
3969.2,66.15333333333334,0.6898,0.6898,True,35544.2467190168,3.507944526794624e-11,1.15851985250039,2.22044604925031e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,24606.157680197528,2.171008366553367e-05,1.6949801551759054e-09,0.007541055670858477,-7388678417.554879,-821969312.3587409,7434258692.6001425,1.317781737213798e-07,-5.497953054591657e-06,5.499532096239013e-06,5.904507678642175e+26,1.2012542651427123,2.0601770836035853,0.9937569152187471,1.330868681306789,7434264192.132238,1.2012546356292362
4419.2,73.65333333333334,0.7056,0.7056,True,36736.776810598,3.625638100127886e-11,1.14521715886173,2.66142132087097e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,24083.949147433395,2.169710829581092e-05,1.7352307207488105e-09,0.007803396396368349,-7702101277.628393,-521921995.585631,7719764676.486001,1.4281355976897233e-08,-6.600683495989796e-06,6.600698945669361e-06,5.2933768642002774e+26,1.2473873491592846,2.472684669471081,1.017355585537922,1.3771673788169536,7719771277.184947,1.2473878776772553
4869.2,81.15333333333334,0.7221,0.7221,True,38627.677176229,3.812255463009861e-11,1.13254520292666,5.36064138891596e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,23161.274816934463,2.187082125262468e-05,1.760941991670772e-09,0.008075102063376667,-7860875092.069861,86695392.66389331,7861353147.151799,-4.313329697387865e-07,-8.042216977235216e-06,8.053775638774277e-06,4.7606430390872594e+26,1.2702657236301138,3.01702103326837,1.0324299527508587,1.4251188299847684,7861361200.927438,1.2702664770730179
5319.2,88.65333333333334,0.7365,0.7365,True,41102.9384991006,4.056544770322942e-11,1.12038213197898,1.31536507814765e-15,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,22002.779804502952,2.22187612161171e-05,1.7695652201523184e-09,0.008325295305865342,-7530684500.304074,1019880272.8030525,7599431874.421459,-1.6420362172668517e-06,-9.522064725734492e-06,9.662608321767633e-06,4.354437044969811e+26,1.227943542090735,3.619705073811032,1.0374857009900813,1.4692737023575466,7599441537.029781,1.2279445737496884
5769.2,96.15333333333334,0.75115,0.75115,True,44540.0525416459,4.395761563657456e-11,1.11048806370079,2.78458255510668e-15,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,20485.755164595026,2.280109314512213e-05,1.7569480835861406e-09,0.008566131468254148,-5898243236.552097,2509450001.3358035,6409883976.074514,-5.04571479011337e-06,-1.0613524844724167e-05,1.1751857188238205e-05,4.0207736037489554e+26,1.0357321131417863,4.402357590666235,1.0300883478856155,1.5117772084764571,6409895727.931703,1.0357335652971413
6219.2,103.65333333333334,0.7653,0.7653,True,47405.3340968944,4.678542876450955e-11,1.10464981505447,9.99743003044623e-15,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,19349.27789001058,2.3243244779480343e-05,1.7488752547120166e-09,0.008773315030945006,-1933741540.1853158,4115886605.8777795,4547513485.046788,-1.240272722769663e-05,-9.702402704490071e-06,1.574688099036579e-05,3.719874933959044e+26,0.7348035891115675,5.898931543061697,1.025355295705305,1.5483416003735182,4547529231.927778,0.7348058165990362
6669.2,111.15333333333334,0.7804,0.7804,True,50972.6847053333,5.0306130199247066e-11,1.09799679660201,2.77295831303905e-14,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,18104.144880085725,2.3795638080923302e-05,1.7354962284867397e-09,0.009000248030120324,3474442435.9512506,1451667653.4174385,3765513141.222236,-1.912406391130166e-05,-1.2371778782869637e-06,1.9164040012118352e-05,3.420668755524349e+26,0.6084451602210925,7.179031846950879,1.0175112511661037,1.588391433518838,3765532305.262248,0.6084479943684331
7119.2,118.65333333333334,0.79425,0.79425,True,55229.8850057114,5.450766036845722e-11,1.08542198582978,7.03873657780734e-14,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,16902.22367302413,2.4411499627129864e-05,1.7264267179716651e-09,0.009265682724119362,3600587943.265426,-4236926499.4582367,5560196012.64198,-1.5968582969570973e-05,7.8183766631936e-06,1.7779838461123387e-05,3.122428210819084e+26,0.8984364751611326,6.660496767139532,1.012193850390359,1.6352361640969053,5560213792.480441,0.8984389605598695
7569.2,126.15333333333334,0.8078,0.8078,True,62701.3739978356,6.188144694047811e-11,1.07498664205791,2.59925567792322e-13,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,15032.682061246334,2.5666983589199815e-05,1.6719961734471128e-09,0.009514430288993122,810865945.5209581,-6692593160.718033,6741535937.491944,-1.014136835743954e-05,9.677438134700733e-06,1.401785151199127e-05,2.9235542044596804e+26,1.0893216302233197,5.2512206385907,0.980281541650212,1.6791358988410898,6741549955.343456,1.0893234254108073
8019.2,133.65333333333334,0.82375,0.82375,True,72510.8002816605,7.156259829961731e-11,1.07137341733354,1.57076409245223e-12,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,13042.866012827468,2.728731241909009e-05,1.5935139770133626e-09,0.009734061056980423,-1389714159.6825716,-7150780524.821511,7284570513.063131,-6.653545644806075e-06,8.752422836218354e-06,1.0994297392351839e-05,2.752449790602739e+26,1.1770671105728474,4.118568478495797,0.9342678905821254,1.7178970117838326,7284581507.360523,1.177068379355785
8469.2,141.15333333333334,0.83965,0.83965,True,87727.5741671511,8.658038699803953e-11,1.06995132308093,8.77029178748822e-12,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,10794.846152790318,2.970897160910311e-05,1.479638501787977e-09,0.00993387959158055,-2688945412.3143706,-6967686394.133502,7468539423.300893,-4.789344936836743e-06,7.40093862193e-06,8.815424970446907e-06,2.6508395617516437e+26,1.2067934689381727,3.3023421244802984,0.8675033679217974,1.7531616008879272,7468548238.725863,1.2067943728290933
8919.2,148.65333333333334,0.85615,0.85615,True,108230.266466499,1.0681497174099655e-10,1.06257754493758,6.48662836803161e-11,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,8810.635531110585,3.256615194856855e-05,1.3724750750852717e-09,0.010198107369065505,-3754220871.0998173,-6784156055.988787,7753640934.490764,-3.6364947091614284e-06,6.447929822162534e-06,7.402694966111465e-06,2.4953466437635327e+26,1.2528611968013905,2.7731200144317967,0.8046740799096915,1.7997933311302785,7753648337.18573,1.2528618525476263
9369.2,156.15333333333334,0.87075,0.87075,True,137344.031536101,1.3554802483891289e-10,1.05121977839913,2.23064398095441e-10,2.23064398095441e-07,6.651569739193987,0.001,-0.060470406609521854,3141592.653589793,45.0,7017.998693258348,3.6181920114527665e-05,1.1715110246632663e-09,0.010480689852485577,-4212370388.313932,-6062531629.681035,7382300051.422121,-2.4406165569906943e-06,4.877599507414618e-06,5.454134774002971e-06,2.53626814698973e+26,1.192858600974038,2.043170814471776,0.6868500368332043,1.849664356287006,7382305505.556895,1.1928589677464763
9819.2,163.65333333333334,0.885,0.885,True,166807.420403288,1.6462612980890035e-10,1.04566830117873,1.21191847709783e-09,1.21191847709783e-06,5.916526593154335,0.001,-0.050914845711006365,3141592.653589793,45.0,5809.079080425964,3.944752079734214e-05,9.169451502108323e-10,0.010704540742158911,-3999093838.7212076,-5086122041.311562,6470037785.825768,-1.5191441092384392e-06,3.3138354393605254e-06,3.645449786212343e-06,2.8225791222947393e+26,1.0454519821315758,1.3656201977834328,0.5375995589775745,1.8891702492749287,6470041431.275555,1.0454521202324698
10269.2,171.15333333333334,0.8994,0.8994,True,206839.505477594,2.0413472731631518e-10,1.03987766650634,3.88193531312219e-09,3.88193531312219e-06,5.410951705781286,0.001,-0.04434237217515673,3141592.653589793,45.0,4710.867139944258,4.3452835740696134e-05,7.349115613521342e-10,0.010937000153426954,-3865263148.146433,-4462555604.946681,5903783679.273819,-1.0177184804612087e-06,2.5109564147572795e-06,2.7093639516098612e-06,3.0159051719321585e+26,0.9539546064312691,1.014953531786007,0.43087433439130546,1.9301954006111255,5903786388.637771,0.9539546327424572
10719.2,178.65333333333334,0.91685,0.91685,True,262952.24999717,2.5951370230963205e-10,1.03200592566476,2.32172961229036e-08,2.32172961229036e-05,4.634188359415623,0.001,-0.0342444486724031,3141592.653589793,45.0,3733.855575220283,4.8341162615846065e-05,5.190143474273988e-10,0.011231959794953842,-3460995511.0381846,-3643506191.648868,5025298727.042016,-5.10970882194058e-07,1.7109221328456265e-06,1.7855939591943074e-06,3.43743806090123e+26,0.8120058473999825,0.6689004975293869,0.30429506521284067,1.9822507846702282,5025300512.635975,0.8120057856731282
11169.2,186.15333333333334,0.9327,0.9327,True,371249.444723699,3.663947271098806e-10,1.02202862406181,5.466280176774e-08,5.466280176774e-05,4.262308112103934,0.001,-0.029410005457351153,3141592.653589793,45.0,2670.47013672954,5.667351408713396e-05,3.8722320306312614e-10,0.011536805930481614,-3320200685.9261527,-3209751039.288171,4618033599.8167,-1.936625804273304e-07,1.434923943335869e-06,1.4479336718981063e-06,3.587147466986481e+26,0.7461984829602347,0.5424097390871611,0.22702669090376432,2.0360509675755387,4618035047.750372,0.7461983950582933
11619.2,193.65333333333334,0.951,0.95,False,672778.377251706,6.639806562458987e-10,1.01659832715406,2.64597420429013e-07,0.000264597420429013,3.5774143940824037,0.001,-0.020506387123071255,3141592.653589793,45.0,1481.477916272535,7.539379421074729e-05,2.0592235564610356e-10,0.01181269787593091,-2428847780.7130613,-2213809260.0039263,3286373834.723295,6.156991545341247e-08,8.115560394243627e-07,8.138882353340035e-07,4.892250361447549e+26,0.5310241073187664,0.3048902818835013,0.12073106832345915,2.084741226028633,3286374648.611531,0.5310240097785298
12069.2,201.15333333333334,0.9641,0.95,False,1232602.58463909,1.2164842104205401e-09,1.01291593983559,8.26752833683047e-07,0.000826752833683047,3.0826243078738282,0.001,-0.014074116002359771,3141592.653589793,45.0,811.5590371230765,0.00010186456425514593,1.0498406593064923e-10,0.011855397784139637,-1254341765.5433986,-1102188856.965603,1669788471.9944837,3.0875174645741556e-08,2.0117293010069685e-07,2.035284358872364e-07,9.219128517331766e+26,0.26981042855907944,0.07624368985196349,0.061551541584589406,2.0922770370622623,1669788675.5229197,0.2698103450662829
12519.2,208.65333333333334,0.9774,0.95,False,2053874.74023785,2.027016836422182e-09,1.01058930624514,2.33935621313291e-06,0.00233935621313291,2.630903643253166,0.00233935621313291,-0.007037426181375916,3141592.653589793,45.0,488.1664692708458,0.00013134066716082021,4.097870436111108e-11,0.027797759693860682,-193264522.08690113,-204528353.5279794,281394781.2137681,-2.1419246951448263e-12,1.310975762576582e-08,1.3109757800743935e-08,9.909982873657738e+26,0.0454687810982959,0.004911040088511593,0.024025573816427684,4.905834063792268,281394794.3235259,0.04546876360417866
12969.2,216.15333333333334,0.9874,0.95,False,3553206.49832368,3.506742282907051e-09,1.00627443603553,5.82276466996916e-06,0.00582276466996916,2.23487076177229,0.00582276466996916,-0.0021547874678557997,3141592.653589793,45.0,283.38686075698695,0.00017238256385277705,9.628783232780029e-12,0.06948671725432089,-17571852.335602522,-19922173.675946854,26564318.14443596,-6.282592769417614e-10,3.4989981832209486e-10,7.191241908914064e-10,6.461288953825191e+26,0.004292358093938065,0.00026939076859877235,0.005645299087129689,12.26322941998226,26564318.86356015,0.0042923563586771685
13419.2,223.65333333333334,0.99495,0.95,False,4462221.74961077,4.403870614457635e-09,1.00507431887189,1.84668446707213e-05,0.018466844670721298,1.7336073037562454,0.018466844670721298,0.0017763162268899502,3141592.653589793,45.0,225.92655119708414,0.00019306322407523319,7.111392328508709e-12,0.2206398622119666,4000561.8636322236,4713912.974774832,6182675.048755112,1.7231844942266991e-10,1.9805138766972306e-11,1.7345285103742827e-10,1.929111465924834e+26,0.000999018877255523,6.497708942136988e-05,0.0041693675773777205,38.939200992839666,6182675.2222079635,0.0009990184743672917
13869.2,231.15333333333334,0.9987,0.95,False,4650952.6461532,4.590133533685249e-09,1.00377814955372,3.94609765745291e-05,0.0394609765745291,1.4038321710939374,0.0394609765745291,0.002992262230135659,3141592.653589793,45.0,217.03858151869716,0.00019697663755987986,1.1767001031139944e-11,0.4720843300612651,3085902.259873408,3658582.3998391107,4786232.12286077,-2.5453580992569594e-11,7.224269059790373e-11,7.659563388450903e-11,1.56756925538705e+26,0.0007733766054270394,2.8693453710520476e-05,0.006898923630682796,83.3148934627492,4786232.199456404,0.0007733762842164879
14319.2,238.65333333333334,1.0,0.95,False,4667231.38137131,4.606199396766532e-09,1.00370574582253,5.73310510253036e-05,0.0573310510253036,1.2416100964198882,0.0573310510253036,0.0031913429993796387,3141592.653589793,45.0,216.2971791293925,0.00019731393742623168,1.2533446084244132e-11,0.6859192097229123,2258169.750509477,2685686.842276244,3508880.7954804874,-1.2299661301319421e-11,4.971950128408771e-11,5.121826311058951e-11,1.1822529330725088e+26,0.0005669775825320475,1.9186849003859233e-05,0.007348285866182505,121.05313022082566,3508880.8466987507,0.0005669773462487863
