Pe_label,run_dir,Time_s,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,ElectrolyteConcentration_input_molL,FluidConductivity_input_S_m,cH_molL,pH,C_molL,zeta,omega0_rad_s,theta_deg,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,RE_abs_norm,TTM_abs_norm,L_abs_norm,sigma_abs_norm,Amax_waveform_schakel2011,Amax_waveform_schakel2011_RE,Amax_waveform_schakel2011_TE,Amax_waveform_schakel2011_RE_fixed_receiver_z_m,Amax_waveform_schakel2011_TE_fixed_receiver_z_m,Amax_waveform_schakel2011_RE_fixed_receiver_distance_m,Amax_waveform_schakel2011_TE_fixed_receiver_distance_m,Amax_waveform_spectral,Amax_waveform_spectral_RE,Amax_waveform_spectral_TE,Amax_waveform_schakel2011_norm,Amax_waveform_schakel2011_RE_norm,Amax_waveform_schakel2011_TE_norm,Amax_waveform_spectral_norm,Amax_waveform_spectral_RE_norm,Amax_waveform_spectral_TE_norm
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,355.3367704006166,5.922279506676944,0.81085,0.81085,True,549963.2014473295,5.427714976509631e-10,1.1028332668464087,8.226814342774038e-06,,,0.008226814342774,2.0847683034496773,0.009226814342774,-0.0006929589333191,3141592.653589793,45.0,1354.6079787864535,7.684899260951579e-05,5.2779244651055934e-12,0.0857527272398843,1229906.9291302469,724852.0163577594,1427613.9183758693,6.21562599383439e-10,-1.0585505542072123e-10,6.305119806240176e-10,2.1676220418112763e+26,0.0009648896237851,0.0015100362039994,0.0041917955856164,15.132394821017176,5.72822941267084e-07,5.72822941267084e-07,2.558561642463555e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,5.72822941267084e-07,5.72822941267084e-07,2.558561642463555e-07,0.0004380655045769,0.0004380655045769,0.000220193467731,0.0004380655045769,0.0004380655045769,0.000220193467731
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,364.9470647658608,6.082451079431014,0.81615,0.81615,True,596777.365346804,5.889734867733735e-10,1.0986874123351165,8.716446075744067e-06,,,0.008716446075744,2.059660552258168,0.009716446075744,-0.0004810109817863,3141592.653589793,45.0,1261.2468398861176,7.96425116912299e-05,3.5720144817743746e-12,0.0912365472281254,655747.0595983788,451130.7468716597,795941.6793615606,-3.3535813543692407e-10,1.8247989983428087e-11,3.3585423645112117e-10,1.920916631110692e+26,0.0005379576772603,0.0008043495950796,0.0028369399061038,16.10009966097302,3.688046161873661e-07,3.688046161873661e-07,1.2889478395199414e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,3.688046161873661e-07,3.688046161873661e-07,1.2889478395199414e-07,0.0002820427895625,0.0002820427895625,0.0001109286912607,0.0002820427895625,0.0002820427895625,0.0001109286912607
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,374.557359131105,6.2426226521850845,0.8219,0.8219,True,660715.4101444707,6.520754329406345e-10,1.0949129848473047,9.745955291829128e-06,,,0.0097459552918291,2.0111755852137474,0.0107459552918291,-8.765877426885794e-05,3141592.653589793,45.0,1151.175493994897,8.33631708931559e-05,6.285656770874118e-13,0.1019647525318823,90535.11742064088,68346.74576469042,113436.70104067934,1.255126960174418e-10,8.214683096086864e-13,1.2551538420349291e-10,5.976668945646011e+25,7.6669115074954e-05,0.0003006013844789,0.000499214956164,17.99325739021049,5.8337614957204285e-08,5.8337614957204285e-08,2.7101875126559375e-08,-0.0009999999999999,0.001,0.0009999999999999,0.001,5.8337614957204285e-08,5.8337614957204285e-08,2.7101875126559375e-08,4.461360551571565e-05,4.461360551571565e-05,2.33242606591427e-05,4.461360551571565e-05,4.461360551571565e-05,2.33242606591427e-05
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,384.16765349634926,6.4027942249391545,0.8269,0.8269,True,728908.2825808948,7.193765676420691e-10,1.089743558669352,1.0506718589851904e-05,,,0.0105067185898519,1.978532899655592,0.0115067185898519,0.0001651945437755,3141592.653589793,45.0,1054.8055200987756,8.708809616618338e-05,1.1463298439464408e-12,0.1103686929569711,-138846.42662569243,-110611.33780100028,177519.57141918404,6.732847413665383e-11,-1.4173242804023369e-12,6.734339045285648e-11,1.4898067300907544e+26,0.0001199811729742,0.000161283148947,0.0009104299258702,19.476262638650013,9.668921235500485e-08,9.668921235500485e-08,6.475436020689188e-08,-0.0009999999999999,0.001,0.0009999999999999,0.001,9.668921235500485e-08,9.668921235500485e-08,6.475436020689188e-08,7.394293340233206e-05,7.394293340233206e-05,5.572852687235093e-05,7.394293340233206e-05,7.394293340233206e-05,5.572852687235093e-05
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,393.7779478615935,6.5629657976932245,0.832,0.832,True,806518.151594127,7.95971555681176e-10,1.0838273108847285,1.1188182993318703e-05,,,0.0111881829933187,1.9512404389452545,0.0121881829933187,0.0003691247571165,3141592.653589793,45.0,964.4188439183002,9.107771991412814e-05,2.4780621959383385e-12,0.1182681955442587,-259271.1936942805,-214443.02102234028,336463.0160134172,9.912333876784428e-11,7.276529863177573e-12,9.939006074721223e-11,1.659247990698313e+26,0.0002274071923508,0.0002380328917738,0.0019681089114657,20.87025202986886,1.9262586840249718e-07,1.9262586840249718e-07,9.060803127430797e-08,-0.0009999999999999,0.001,0.0009999999999999,0.001,1.9262586840249718e-07,1.9262586840249718e-07,9.060803127430797e-08,0.0001473103504717,0.0001473103504717,7.797856529796533e-05,0.0001473103504717,0.0001473103504717,7.797856529796533e-05
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,403.3882422268377,6.723137370447295,0.8367,0.8367,True,876428.7607759039,8.649679647998656e-10,1.0812297648378122,1.2090493156239657e-05,,,0.0120904931562396,1.9175559844439785,0.0130904931562396,0.0006113405097452,3141592.653589793,45.0,894.6470889256775,9.456253735615964e-05,3.985259298168325e-12,0.1280482356612043,-366662.7338530966,-310339.34155176213,480366.5967897935,-7.49298871023037e-11,-1.067551822022624e-11,7.568655541398591e-11,2.7338070133859663e+26,0.0003246681325317,0.000181264499872,0.0031651442615453,22.59609134925291,2.841063430415618e-07,2.841063430415618e-07,1.1260344608888677e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,2.841063430415618e-07,2.841063430415618e-07,1.1260344608888677e-07,0.0002172699093418,0.0002172699093418,9.690813330923724e-05,0.0002172699093418,0.0002172699093418,9.690813330923724e-05
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,412.9985365920819,6.883308943201365,0.8414,0.8414,True,958100.9092903592,9.45572111129842e-10,1.0765442181117713,1.296419551490238e-05,,,0.0129641955149023,1.8872544279327192,0.0139641955149023,0.0008202150617851,3141592.653589793,45.0,826.563037224563,9.838004193315056e-05,5.1913259266866244e-12,0.1379597517597937,-422844.28009498015,-365039.7334406909,558615.5137475978,-7.165990925544019e-11,-9.27340649149415e-12,7.225744710723184e-11,2.931973090040108e+26,0.0003775546777476,0.0001730520029651,0.0041230179110844,24.345131638772276,3.429746801947488e-07,3.429746801947488e-07,1.909516997622387e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,3.429746801947488e-07,3.429746801947488e-07,1.909516997622387e-07,0.0002622893838788,0.0002622893838788,0.0001643357589747,0.0002622893838788,0.0002622893838788,0.0001643357589747
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,422.6088309573261,7.043480515955436,0.84545,0.84545,True,1067752.730159924,1.053790048033442e-09,1.070650236700008,1.4219452313080588e-05,,,0.0142194523130805,1.8471171308908936,0.0152194523130805,0.0010836345221586,3141592.653589793,45.0,749.3525997093068,0.0001033241602541,6.598837464379729e-12,0.151916595938965,-469159.81972077617,-412077.4847589333,624434.776326303,3.4606889471850405e-11,-1.415754321391532e-13,3.460717906041832e-11,5.923998511976143e+26,0.0004220403210227,8.288199892380009e-05,0.0052408817019389,26.80803262597731,3.98009479840475e-07,3.98009479840475e-07,3.258309807295168e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,3.98009479840475e-07,3.98009479840475e-07,3.258309807295168e-07,0.000304377166227,0.000304377166227,0.0002804147938056,0.000304377166227,0.000304377166227,0.0002804147938056
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,441.8294196878145,7.363823661463575,0.853,0.853,True,1243921.9941490612,1.227655599408172e-09,1.0552167240175423,1.641680759920421e-05,,,0.0164168075992042,1.7847112916041643,0.0174168075992042,0.0014629206230896,3141592.653589793,45.0,658.4621511574128,0.0001102248674537,8.550323962899353e-12,0.1779679701612871,-484055.5483706484,-435874.0555732468,651380.0474609879,-4.088174729615006e-11,-8.019266874266348e-12,4.166084376470282e-11,3.976375517747232e+26,0.0004402519762841,9.97750785188952e-05,0.0067907774126425,31.405200471840207,4.516952214063122e-07,4.516952214063122e-07,1.8019686352770842e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,4.516952214063122e-07,4.516952214063122e-07,1.8019686352770842e-07,0.0003454332583863,0.0003454332583863,0.0001550799933677,0.0003454332583863,0.0003454332583863,0.0001550799933677
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,461.05000841830287,7.684166806971715,0.8596,0.8596,True,1531451.247277614,1.5114249187523386e-09,1.046630440566459,2.076507182300048e-05,,,0.0207650718230004,1.6826665623976458,0.0217650718230004,0.0020027546253783,3141592.653589793,45.0,543.3960372044019,0.0001213351859458,1.080714245293128e-11,0.2259587239949838,-462023.4016591396,-424207.2984229865,627229.9863016845,2.8802547992109806e-11,-7.340171913605179e-13,2.8811899487451392e-11,4.106098199794936e+26,0.0004239295356533,6.900267190638559e-05,0.008583171723436,39.87391112565101,4.713758254195111e-07,4.713758254195111e-07,3.9698727923792953e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,4.713758254195111e-07,4.713758254195111e-07,3.9698727923792953e-07,0.0003604839714537,0.0003604839714537,0.0003416529201787,0.0003604839714537,0.0003604839714537,0.0003416529201787
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,480.2705971487912,8.004509952479854,0.8664,0.8664,True,1675889.2007328796,1.653974100421656e-09,1.0436350707303408,2.2346971403065373e-05,,,0.0223469714030653,1.6507813267629845,0.0233469714030653,0.0021507844629424,3141592.653589793,45.0,501.9275962522868,0.0001262479853575,1.1275813934515543e-11,0.2450001192004224,-431994.8308789142,-399716.55520437367,588551.4917240061,1.2444366736239128e-11,-3.1232254130647818e-12,1.2830307885893796e-11,7.669646717462732e+26,0.0003977876792303,3.0727773637202646e-05,0.0089553966502227,43.23405977008623,4.812290302813361e-07,4.812290302813361e-07,2.350091990241236e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,4.812290302813361e-07,4.812290302813361e-07,2.350091990241236e-07,0.000368019195427,0.000368019195427,0.0002022522718349,0.000368019195427,0.000368019195427,0.0002022522718349
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,499.4911858792796,8.324853097987994,0.87225,0.87225,True,1863800.6276056108,1.8394282659386001e-09,1.0454475039733029,2.781637087570992e-05,,,0.0278163708757099,1.5556995318372902,0.0288163708757099,0.0025333139977058,3141592.653589793,45.0,453.5820841211578,0.000132805801562,1.2691854724929816e-11,0.3039093122113732,-385754.9099651053,-360366.88269394735,527893.1148487729,2.497948634504207e-11,-1.7513069561454628e-12,2.5040802984664585e-11,2.805043637673867e+26,0.0003567901534363,5.997113496025506e-05,0.0100800344834381,53.62949786193268,4.2833699676014483e-07,4.2833699676014483e-07,1.557413975266551e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,4.2833699676014483e-07,4.2833699676014483e-07,1.557413975266551e-07,0.0003275700903312,0.0003275700903312,0.0001340332701839,0.0003275700903312,0.0003275700903312,0.0001340332701839
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,518.711774609768,8.645196243496134,0.87845,0.87845,True,2000205.5124492613,1.974049425024616e-09,1.0419196686662198,2.920697512626993e-05,,,0.0292069751262699,1.534513419198796,0.0302069751262699,0.0026064752633307,3141592.653589793,45.0,427.0952965062645,0.0001368619108141,1.2805336446957168e-11,0.321925973344731,-359005.84976382204,-337036.6363018431,492421.4601074011,1.1008744396026568e-11,-2.8447884641994288e-12,1.1370368269457609e-11,5.265832172038185e+26,0.0003328157222838,2.7231310851055685e-05,0.0101701631286257,56.80881633263014,3.9522691780709154e-07,3.9522691780709154e-07,2.797617913568343e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,3.9522691780709154e-07,3.9522691780709154e-07,2.797617913568343e-07,0.0003022492059912,0.0003022492059912,0.0002407669917156,0.0003022492059912,0.0003022492059912,0.0002407669917156
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,537.9323633402564,8.965539389004274,0.88375,0.88375,True,2131029.655013055,2.103162819523346e-09,1.0399217100999465,3.023764585728878e-05,,,0.0302376458572887,1.5194520237193443,0.0312376458572887,0.0026558005376233,3141592.653589793,45.0,404.0693288952133,0.0001407074363314,1.2792642713432827e-11,0.3355622063987645,-338237.1826425558,-318631.5797035088,464683.1988638358,3.383891119008817e-12,-4.022331414322049e-12,5.256412190073069e-12,1.0086964581854468e+27,0.00031406810424,1.2588773812511366e-05,0.0101600816019756,59.21514052880176,3.699615263411674e-07,3.699615263411674e-07,2.8485948556443e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,3.699615263411674e-07,3.699615263411674e-07,2.8485948556443e-07,0.0002829275349066,0.0002829275349066,0.0002451541401289,0.0002829275349066,0.0002829275349066,0.0002451541401289
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,557.1529520707448,9.285882534512414,0.8896,0.8896,True,2268567.1392289232,2.2389017673193686e-09,1.0359938829020183,3.153412866789709e-05,,,0.031534128667897,1.501219164669146,0.032534128667897,0.002712521862006,3141592.653589793,45.0,383.53282908613176,0.0001444254473781,1.2862906835010095e-11,0.3531365904715042,-316890.5491795433,-299666.03365244827,436141.4356425021,-2.2050880708910718e-11,-7.275779703689259e-12,2.3220213399864083e-11,1.980897734863405e+26,0.0002947774186966,5.5610938373741006e-05,0.0102158862722778,62.31641237268081,3.463642696186274e-07,3.463642696186274e-07,1.4929316700403424e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,3.463642696186274e-07,3.463642696186274e-07,1.4929316700403424e-07,0.0002648815674216,0.0002648815674216,0.0001284838309367,0.0002648815674216,0.0002648815674216,0.0001284838309367
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,576.3735408012333,9.606225680020554,0.8948,0.8948,True,2456934.76419806,2.4248061653670715e-09,1.0311899002707696,3.302458574188231e-05,,,0.0330245857418823,1.4811626214391878,0.0340245857418823,0.0027711289970315,3141592.653589793,45.0,357.8576428990815,0.0001495167488398,1.282763663101221e-11,0.3732038531379781,-293717.0586974421,-278777.57680922124,404952.648962194,-9.138534598758088e-12,-5.384200110542394e-12,1.0606716053664459e-11,3.707098112271826e+26,0.000273697674195,2.540241222811313e-05,0.0101878742220107,65.8575911948618,3.219011715979096e-07,3.219011715979096e-07,1.8734964013378264e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,3.219011715979096e-07,3.219011715979096e-07,1.8734964013378264e-07,0.0002461734490731,0.0002461734490731,0.0001612357750329,0.0002461734490731,0.0002461734490731,0.0001612357750329
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,595.5941295317217,9.926568825528696,0.89975,0.89975,True,2642345.354931817,2.60779219742898e-09,1.0306885098053191,3.458587559337925e-05,,,0.0345858755933792,1.4611012250291209,0.0355858755933792,0.0028257759319384,3141592.653589793,45.0,334.7506579022223,0.0001545910239846,1.2728003518515803e-11,0.3926793076251664,-273739.17537456105,-260507.07426964928,377884.99821940175,5.5706941858237916e-12,-2.8340126957001895e-12,6.25014093211992e-12,5.525366261988243e+26,0.0002554033055244,1.4968691123456753e-05,0.0101087443208716,69.2943363119525,3.624070454901024e-07,2.9734708340389337e-07,3.624070454901024e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,3.624070454901024e-07,2.9734708340389337e-07,3.624070454901024e-07,0.0002771502567506,0.000227395746123,0.0003118926773239,0.0002771502567506,0.000227395746123,0.0003118926773239
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,614.8147182622101,10.246911971036836,0.9049,0.9049,True,2777645.734373271,2.741323294398592e-09,1.0283318828416177,3.61823651848858e-05,,,0.0361823651848858,1.4415030473940864,0.0371823651848858,0.0028753182051641,3141592.653589793,45.0,321.00147695341343,0.000157867044412,1.2784780262816992e-11,0.4135901938163124,-257562.02513954169,-245766.62992462772,356004.82184724807,5.464927557502579e-12,-3.5288793239435064e-12,6.505261139393797e-12,4.680822642288028e+26,0.0002406150249702,1.5579687839132356e-05,0.0101538371424345,72.98438555104659,2.983334779179696e-07,2.983334779179696e-07,1.6386809645774349e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,2.983334779179696e-07,2.983334779179696e-07,1.6386809645774349e-07,0.0002281500898815,0.0002281500898815,0.0001410272233064,0.0002281500898815,0.0002281500898815,0.0001410272233064
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,634.0353069926986,10.567255116544976,0.90995,0.90995,True,2945718.423406003,2.90719814729865e-09,1.0250215185315397,3.832749070862657e-05,,,0.0383274907086265,1.41648961296766,0.0393274907086265,0.0029330259388008,3141592.653589793,45.0,305.35842955920293,0.0001618601866247,1.2832633806247607e-11,0.4413129894934855,-238998.97129222023,-228720.1858801699,330807.24252621643,5.465963665710881e-12,-3.1688213657464935e-12,6.318084175039377e-12,4.132265762600912e+26,0.0002235845922191,1.5131410881016266e-05,0.0101918430429423,77.87650155985676,3.024951491795899e-07,3.024951491795899e-07,1.316746910489223e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,3.024951491795899e-07,3.024951491795899e-07,1.316746910489223e-07,0.0002313327218779,0.0002313327218779,0.0001133211189962,0.0002313327218779,0.0002313327218779,0.0001133211189962
