z_m,z_mm,side,distance_from_interface_m,distance_from_interface_mm,peak_abs,peak_signed,peak_time_s,peak_time_us,liu_dipole_peak_distance_m,liu_dipole_peak_distance_mm,include_in_quantitative_summary,interface_value_policy
-0.009999999999999992,-9.999999999999991,R_E,0.009999999999999992,9.999999999999991,4.857418081148405e-07,-4.857418081148405e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.00899999999999999,-8.999999999999991,R_E,0.00899999999999999,8.999999999999991,5.350588705180045e-07,-5.350588705180045e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.00799999999999999,-7.999999999999989,R_E,0.00799999999999999,7.999999999999989,5.913458739823595e-07,-5.913458739823595e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.006999999999999989,-6.9999999999999885,R_E,0.006999999999999989,6.9999999999999885,6.559731182520725e-07,-6.559731182520725e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.005999999999999988,-5.999999999999988,R_E,0.005999999999999988,5.999999999999988,7.306985418500113e-07,-7.306985418500113e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.004999999999999987,-4.999999999999987,R_E,0.004999999999999987,4.999999999999987,8.178207532417914e-07,-8.178207532417914e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.003999999999999986,-3.9999999999999862,R_E,0.003999999999999986,3.9999999999999862,9.204098867350933e-07,-9.204098867350933e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.0029999999999999853,-2.9999999999999853,R_E,0.0029999999999999853,2.9999999999999853,1.0426642337868713e-06,-1.0426642337868713e-06,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.0019999999999999844,-1.9999999999999845,R_E,0.0019999999999999844,1.9999999999999845,1.1904750591511775e-06,-1.1904750591511775e-06,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.0009999999999999835,-0.9999999999999836,R_E,0.0009999999999999835,0.9999999999999836,1.3723442881224326e-06,-1.3723442881224326e-06,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
0.0,0.0,interface,0.0,0.0,6.985358749030043e-07,-6.985358749030043e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,False,plot_only_linear_interpolation
0.0010000000000000182,1.0000000000000182,T_E,0.0010000000000000182,1.0000000000000182,1.4880288071160024e-07,-1.4880288071160024e-07,7.179316096747288e-05,71.79316096747289,0.0,0.0,True,physical_receiver_sample
0.002000000000000019,2.000000000000019,T_E,0.002000000000000019,2.000000000000019,1.2247326354364572e-07,-1.2247326354364572e-07,7.179316096747288e-05,71.79316096747289,0.0,0.0,True,physical_receiver_sample
0.00300000000000002,3.00000000000002,T_E,0.00300000000000002,3.00000000000002,1.0173351034697827e-07,-1.0173351034697827e-07,7.179316096747288e-05,71.79316096747289,0.0,0.0,True,physical_receiver_sample
0.004000000000000021,4.000000000000021,T_E,0.004000000000000021,4.000000000000021,8.523129932876183e-08,-8.523129932876183e-08,7.179316096747288e-05,71.79316096747289,0.0,0.0,True,physical_receiver_sample
0.005000000000000022,5.000000000000022,T_E,0.005000000000000022,5.000000000000022,7.195745919007296e-08,-7.195745919007296e-08,7.179316096747288e-05,71.79316096747289,0.0,0.0,True,physical_receiver_sample
0.006000000000000023,6.000000000000023,T_E,0.006000000000000023,6.000000000000023,6.11654676075046e-08,-6.11654676075046e-08,7.179316096747288e-05,71.79316096747289,0.0,0.0,True,physical_receiver_sample
