Time_s,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,ElectrolyteConcentration_input_molL,FluidConductivity_input_S_m,cH_molL,pH,C_molL,zeta,omega0_rad_s,theta_deg,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,RE_abs_norm,TTM_abs_norm,L_abs_norm,sigma_abs_norm,Amax_waveform_spectral,Amax_waveform_spectral_norm
10269.2,171.15333333333334,0.8994,0.8994,True,206839.505477594,2.0413472731631518e-10,1.03987766650634,3.88193531312219e-09,,,3.88193531312219e-06,5.410951705781286,0.0010038819353131222,-0.044313675169121824,3141592.653589793,45.0,4236.953905665866,4.3452835740696134e-05,6.965305400862641e-10,0.010979442304526764,-6446371142.185155,-6288227902.805049,9005415651.729437,-8.110467090532589e-07,4.709177951101112e-06,4.778509573015731e-06,4.136948573544949e+26,0.6535940251944625,1.2288309683795777,0.5531935324714143,1.937492383239015,7.210046335402491e+16,1.3721074811926957
10719.2,178.65333333333334,0.91685,0.91685,True,262952.24999717,2.5951370230963205e-10,1.03200592566476,2.32172961229036e-08,,,2.32172961229036e-05,4.634188359415623,0.0010232172961229036,-0.03411316240121368,3141592.653589793,45.0,3423.3854841407165,4.8341162615846065e-05,4.951308810510452e-10,0.011492693438027756,-5527132889.308599,-4976609416.174334,7437461882.741442,-2.876327358210637e-07,3.1677972107256373e-06,3.180828784923363e-06,4.693805678312134e+26,0.5397952562287143,0.8179749054180966,0.39323932743909396,2.0280634827781023,5.903736106710042e+16,1.1235101831772185
11169.2,186.15333333333334,0.9327,0.9327,True,371249.444723699,3.663947271098806e-10,1.02202862406181,5.466280176774e-08,,,5.466280176774e-05,4.262308112103934,0.00105466280176774,-0.029148554709931263,3141592.653589793,45.0,2490.747496527642,5.667351408713396e-05,3.7075935785475414e-10,0.012167381562205426,-5036174416.658919,-4225529205.5648923,6574051248.818469,4.397581399422782e-08,2.5612678573511046e-06,2.561645351979148e-06,4.837701714257628e+26,0.47713073818250457,0.6587470612789789,0.29446186070047004,2.1471226358206117,5.315022875489363e+16,1.0114751432817468
11619.2,193.65333333333334,0.951,0.95,False,672778.377251706,6.639806562458987e-10,1.01659832715406,2.64597420429013e-07,,,0.000264597420429013,3.5774143940824037,0.001264597420429013,-0.019702282061762687,3141592.653589793,45.0,1407.404020458908,7.539379421074729e-05,1.9309661802116273e-10,0.014938229782842217,-3016139988.4690933,-2545475271.6283383,3946713162.6853385,1.1915549163674666e-07,1.1490635548159467e-06,1.1552251227329914e-06,6.02424896093423e+26,0.2864440956472777,0.29707514122829304,0.15335982284162433,2.6360816533821647,,
12069.2,201.15333333333334,0.9641,0.95,False,1232602.58463909,1.2164842104205401e-09,1.01291593983559,8.26752833683047e-07,,,0.000826752833683047,3.0826243078738282,0.0018267528336830471,-0.01265761149631118,3141592.653589793,45.0,770.9810852669226,0.00010186456425514593,9.231728899828104e-11,0.021656845903737194,-1053574996.1789396,-956787207.0051571,1423187279.3354294,2.298566039695856e-08,2.035028705134231e-07,2.0479687226881018e-07,9.153825728945261e+26,0.1032919232692788,0.05266511137537953,0.0733195807937132,3.8216853661293895,,
12519.2,208.65333333333334,0.9774,0.95,False,2053874.74023785,2.027016836422182e-09,1.01058930624514,2.33935621313291e-06,,,0.00233935621313291,2.630903643253166,0.00333935621313291,-0.006549843683792214,3141592.653589793,45.0,463.7581458073035,0.00013134066716082021,3.7221802383832653e-11,0.03968043072817101,-241839633.3100205,-245665548.35224158,344728835.29918516,2.0121520837889683e-09,2.0719967000150632e-08,2.0817439527848458e-08,1.3173279405859714e+27,0.025019689904099363,0.005353366773323216,0.02956203520252702,7.002225629235947,,
12969.2,216.15333333333334,0.9874,0.95,False,3553206.49832368,3.506742282907051e-09,1.00627443603553,5.82276466996916e-06,,,0.00582276466996916,2.23487076177229,0.00682276466996916,-0.0020739553403702283,3141592.653589793,45.0,269.2175177191376,0.00017238256385277705,9.036373215639081e-12,0.08142035274344371,-29350927.849133488,-31978663.448118825,43406357.61651847,-3.4745511279841406e-09,7.826781508933068e-10,3.561613486730646e-09,4.98265805055511e+26,0.0031503416489345837,0.0009158966583655678,0.007176804077062229,14.367880344524968,,
13419.2,223.65333333333334,0.99495,0.95,False,4462221.74961077,4.403870614457635e-09,1.00507431887189,1.84668446707213e-05,,,0.018466844670721298,1.7336073037562454,0.0194668446707213,0.0017458104439796902,3141592.653589793,45.0,214.63022363722993,0.00019306322407523319,6.8127912586532204e-12,0.23258775008274782,7788440.910637308,9013277.865049085,11912136.235414397,5.328167665832561e-10,1.3954037035358537e-10,5.507860035536958e-10,3.2266735087469834e+26,0.0008645576586211332,0.00014163891225390195,0.005410806627226984,41.04370529222857,,
13869.2,231.15333333333334,0.9987,0.95,False,4650952.6461532,4.590133533685249e-09,1.00377814955372,3.94609765745291e-05,,,0.0394609765745291,1.4038321710939374,0.0404609765745291,0.0029598648848731587,3141592.653589793,45.0,206.1866524427623,0.00019697663755987986,1.134514983865573e-11,0.48404764545976886,6250408.198457651,7340962.489466552,9641438.322112607,-4.932750070110252e-11,1.8675363547429917e-10,1.931582840270763e-10,3.61125419625714e+26,0.0006997552056804331,4.967215772714919e-05,0.009010464228727401,85.41769246479993,,
14319.2,238.65333333333334,1.0,0.95,False,4667231.38137131,4.606199396766532e-09,1.00370574582253,5.73310510253036e-05,,,0.0573310510253036,1.2416100964198882,0.0583310510253036,0.003162865844669777,3141592.653589793,45.0,205.48232017292287,0.00019731393742623168,1.2107251502168547e-11,0.6978833876117047,4625596.006739233,5464132.051144174,7159111.501429698,-2.2387060015626714e-11,1.46456002675603e-10,1.4815715026909605e-10,2.4336946767958924e+26,0.000519593174151468,3.8099765555692565e-05,0.009615735192565948,123.1523159723001,,
