Porosity_used,k0_m2,Permeability_mD,Tortuosity,OutletHConc,C_molL,pH,eta_Pa_s,K_f_Pa,omega_rad_s,theta_deg,Lambda_m,debye_d_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,RE_energy_proxy,TTM_energy_proxy_abs,matrix_cond,scan,scan_value,RE_abs_norm_to_scan_start,TTM_abs_norm_to_scan_start,RE_energy_proxy_norm_to_scan_start,TTM_energy_proxy_abs_norm_to_scan_start,L_abs_norm_to_scan_start
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,0.00018988078244652632,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,2.216821162858192e-08,2.2048998099976486e-09,0.00025873637576566877,501000732.79114574,-8096465.966589421,501066150.3418617,4.2845374277871195e-06,6.556159578501595e-06,7.832016942581705e-06,2.510672870184132e+17,6.134048938888689e-11,9.128932011684344e+25,electrolyte_concentration_molL,0.00018988078244652632,0.6741298100003452,0.18039581894817533,0.45445100073110156,0.03254265149398285,0.7076505992317313
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,0.00022616759492228645,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,2.0312153751296876e-08,2.156934363930838e-09,0.0003068385074659816,485780171.7496481,-6535096.8239672,485824127.391401,3.1483834715518247e-06,5.570740412465246e-06,6.398864526383894e-06,2.3602508275561622e+17,4.094546722701418e-11,9.249796948320368e+25,electrolyte_concentration_molL,0.00022616759492228645,0.6536233319063758,0.14738584135326752,0.42722346001239225,0.021722586231410546,0.6922563502514877
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,0.00026938893095901725,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,1.861149635924494e-08,2.10865486516369e-09,0.0003640838887015098,469968101.69214064,-4993658.149950684,469994631.0649014,2.282109244576004e-06,4.652403024994071e-06,5.181976120280104e-06,2.208949532298328e+17,2.6852876511153237e-11,9.363445788328704e+25,electrolyte_concentration_molL,0.00026938893095901725,0.6323264725122544,0.11935709956210497,0.3998367678397908,0.01424611721587824,0.6767613077655362
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,0.00032086999973704504,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,1.705322837604416e-08,2.060091738314544e-09,0.00043221921340688463,453524332.19058526,-3463955.662289202,453537560.6030295,1.6364026745409759e-06,3.829583085781747e-06,4.164555237255295e-06,2.0569631887774666e+17,1.7343520324150505e-11,9.466239777441431e+25,electrolyte_concentration_molL,0.00032086999973704504,0.610185280623609,0.09592271800320408,0.3723260766897124,0.009201167829122212,0.6611752363896213
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,0.00038218926206331187,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,1.5625428091979367e-08,2.0112725460024874e-09,0.0005133250935830417,436410969.84572965,-1940858.550821374,436415285.63239473,1.1616290019912914e-06,3.1146072411871584e-06,3.324178124758474e-06,1.9045830153360467e+17,1.1050160205122765e-11,9.554773770379276e+25,electrolyte_concentration_molL,0.00038218926206331187,0.5871491286806918,0.07656620759910451,0.3447440993104956,0.00586238414610917,0.6455069821963966
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,0.000455226827550731,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,1.4317171955581028e-08,1.96222224874576e-09,0.0006098798895650309,418595570.1536408,-423035.1145836015,418595783.9144582,8.090724733529154e-07,2.5082264977615265e-06,2.6354882718787534e-06,1.752224303109598e+17,6.945798431210458e-12,9.630252576616697e+25,electrolyte_concentration_molL,0.000455226827550731,0.5631749342570264,0.06070352868480394,0.317166006575406,0.003684918394786816,0.6297645561284044
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,0.0005422221006501586,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,1.3118451001729299e-08,1.912963442610531e-09,0.0007248357400805088,400055188.2482298,1086036.7210732552,400056662.386825,5.566702900866302e-07,2.0012152632631e-06,2.077196269441656e-06,1.600453331200861e+17,4.314744341782332e-12,9.683359799693223e+25,electrolyte_concentration_molL,0.0005422221006501586,0.538232569931538,0.04784431965471492,0.28969429933510793,0.0022890789232225405,0.6139552102701582
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,0.0006458424430196978,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,1.2020094276906968e-08,1.863516576268793e-09,0.0008617091236224135,380780987.94595796,2577659.543108818,380789712.45271313,3.7424906059342677e-07,1.5835893648455063e-06,1.6272116137143492e-06,1.4500080510981994e+17,2.6478176358068564e-12,9.713001796549627e+25,electrolyte_concentration_molL,0.0006458424430196978,0.5123109919332888,0.037479767192794174,0.2624625524556703,0.0014047329488260506,0.5980855075116914
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,0.0007692649574879146,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,1.1013698675757191e-08,1.8139001490528198e-09,0.001024688728222734,360783667.98349005,4037146.678269254,360806254.98586226,2.445860083758712e-07,1.2432928167134124e-06,1.2671224658983885e-06,1.3018115363692306e+17,1.6055993435844128e-12,9.713247618630733e+25,electrolyte_concentration_molL,0.0007692649574879146,0.4854254312621339,0.02918578912930978,0.23563784931602866,0.000851810287100537,0.5821613851130604
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,0.000916273901188674,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,1.0091564652152572e-08,1.7641308915121966e-09,0.0012187639374252434,340099096.5168517,5443699.185277203,340142660.23596424,1.5215968160291801e-07,9.686433482943582e-07,9.805215473922062e-07,1.1569702931239861e+17,9.614225049004066e-13,9.6817149170387e+25,electrolyte_concentration_molL,0.000916273901188674,0.4576248201189367,0.022584474578504,0.20942047598888913,0.0005100584919870934,0.566188212653139
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,0.0010913767146512737,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,9.246637312925556e-09,1.7142239298920964e-09,0.0014498778723853508,318793816.9895063,6770698.977170465,318865708.591216,8.786735884884068e-08,7.488187991547088e-07,7.539564090307683e-07,1.016753401153783e+17,5.684502667185713e-13,9.612808546842455e+25,electrolyte_concentration_molL,0.0010913767146512737,0.4289990042264152,0.017365971608010473,0.18404014562725576,0.0003015769698902259,0.5501708448180279
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,0.0012999422244132463,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,8.472452443591053e-09,1.6641929358617303e-09,0.0017251096829559976,296969608.22266763,7986812.460540078,297076988.97963226,4.460981470916498e-08,5.743640308780542e-07,5.760938079296396e-07,8.825473738120454e+16,3.3188407553487246e-13,9.5009790732588e+25,electrolyte_concentration_molL,0.0012999422244132463,0.3996846603979879,0.013269240226922042,0.1597478277574549,0.00017607273619976615,0.5341136694555857
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,0.001548365256585499,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,7.763087053124685e-09,1.6140502627319062e-09,0.0020528916774348676,274766252.1992443,9057937.131718663,274915513.5177004,1.4577007859008019e-08,4.3688122638895836e-07,4.3712434744502834e-07,7.55785395727009e+16,1.9107769512924184e-13,9.348550069826796e+25,electrolyte_concentration_molL,0.001548365256585499,0.36986881426213025,0.01006833938404877,0.13680293976367422,0.00010137145795238756,0.5180206512937134
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,0.0018442627085855348,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,7.113114059433839e-09,1.5638070693124202e-09,0.0024432679488466543,252361593.56427655,9949956.138865534,252557667.73841265,-4.2613580554887736e-09,3.295107565141989e-07,3.295383101113386e-07,6.378537553346644e+16,1.0859549783103676e-13,9.148711247488952e+25,electrolyte_concentration_molL,0.0018442627085855348,0.33978877329962454,0.007590296824324384,0.11545641046046363,5.761260588134883e-05,0.5018953716917105
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,0.0021967070907932353,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,6.517560768837447e-09,1.5134734324744599e-09,0.0029082024279658615,229967982.5262708,10632229.395791674,230213634.02094135,-1.564916425016849e-08,2.4632269665556844e-07,2.4681930076353417e-07,5.299831728912792e+16,6.091976722939994e-14,8.903014149463659e+25,electrolyte_concentration_molL,0.0021967070907932353,0.30972731495859834,0.005685019608598637,0.09593100963146278,3.2319447950151e-05,0.485741064766566
