position,medium,z_m,r_m,time_ms,model_mv,raw_model_mv
1,fluid,-0.023,0.0,0.08203755215577191,0.0,-0.0006758185558761463
1,fluid,-0.023,0.0,0.08216272600834493,0.0,-0.0006797585957946771
1,fluid,-0.023,0.0,0.08228789986091793,0.0,-0.0006445729874528693
1,fluid,-0.023,0.0,0.08241307371349096,0.0,-0.0005742540775280915
1,fluid,-0.023,0.0,0.08253824756606398,0.0,-0.0004852368233443878
1,fluid,-0.023,0.0,0.082663421418637,0.0,-0.0004004769607241838
1,fluid,-0.023,0.0,0.08278859527121002,0.0,-0.00033986671026615885
1,fluid,-0.023,0.0,0.08291376912378304,0.0,-0.0003112653174126827
1,fluid,-0.023,0.0,0.08303894297635606,0.0,-0.00030637083810247244
1,fluid,-0.023,0.0,0.08316411682892906,0.0,-0.00030361423531998844
1,fluid,-0.023,0.0,0.08328929068150208,0.0,-0.0002771062110711028
1,fluid,-0.023,0.0,0.0834144645340751,0.0,-0.00020784994087524463
1,fluid,-0.023,0.0,0.08353963838664813,0.0,-9.227638701517193e-05
1,fluid,-0.023,0.0,0.08366481223922115,0.0,5.574845242806954e-05
1,fluid,-0.023,0.0,0.08378998609179417,0.0,0.00021040158967217497
1,fluid,-0.023,0.0,0.08391515994436718,0.0,0.0003444330303376271
1,fluid,-0.023,0.0,0.08404033379694019,0.0,0.0004399958167178809
1,fluid,-0.023,0.0,0.08416550764951321,0.0,0.0004948817668811225
1,fluid,-0.023,0.0,0.08429068150208623,0.0,0.0005214088168061292
1,fluid,-0.023,0.0,0.08441585535465924,0.0,0.0005386621637343322
1,fluid,-0.023,0.0,0.08454102920723228,0.0,0.0005619522097033823
1,fluid,-0.023,0.0,0.0846662030598053,0.0,0.0005947072482833416
1,fluid,-0.023,0.0,0.08479137691237831,0.0,0.0006268785288452399
1,fluid,-0.023,0.0,0.08491655076495132,0.0,0.0006407834670572604
1,fluid,-0.023,0.0,0.08504172461752434,0.0,0.0006216120383206995
1,fluid,-0.023,0.0,0.08516689847009735,0.0,0.0005673473817982567
1,fluid,-0.023,0.0,0.08529207232267037,0.0,0.0004928549390425942
1,fluid,-0.023,0.0,0.08541724617524339,0.0,0.00042548273974744497
1,fluid,-0.023,0.0,0.08554242002781641,0.0,0.0003935569719630076
1,fluid,-0.023,0.0,0.08566759388038944,0.0,0.0004127704995633934
1,fluid,-0.023,0.0,0.08579276773296245,0.0,0.0004768830393504943
1,fluid,-0.023,0.0,0.08591794158553548,0.0,0.0005575788203615332
1,fluid,-0.023,0.0,0.08604311543810848,0.0,0.0006143466327539031
1,fluid,-0.023,0.0,0.0861682892906815,0.0,0.0006106160775286501
1,fluid,-0.023,0.0,0.08629346314325452,0.0,0.0005292529781430928
1,fluid,-0.023,0.0,0.08641863699582752,0.0,0.000380431240453083
1,fluid,-0.023,0.0,0.08654381084840056,0.0,0.00019804262921689855
1,fluid,-0.023,0.0,0.08666898470097358,0.0,2.5858722359579032e-05
1,fluid,-0.023,0.0,0.08679415855354661,0.0,-0.00010064962716497886
1,fluid,-0.023,0.0,0.08691933240611961,0.0,-0.00016879422997826551
1,fluid,-0.023,0.0,0.08704450625869263,0.0,-0.00019291676643982166
1,fluid,-0.023,0.0,0.08716968011126565,0.0,-0.00020643559155968195
1,fluid,-0.023,0.0,0.08729485396383865,0.0,-0.0002453318101184014
1,fluid,-0.023,0.0,0.08742002781641169,0.0,-0.0003307652224717345
1,fluid,-0.023,0.0,0.08754520166898469,0.0,-0.00045905396748546247
1,fluid,-0.023,0.0,0.08767037552155774,0.0,-0.0006039131191451806
1,fluid,-0.023,0.0,0.08779554937413074,0.0,-0.0007300705674259016
1,fluid,-0.023,0.0,0.08792072322670376,0.0,-0.0008118168593739581
1,fluid,-0.023,0.0,0.08804589707927678,0.0,-0.0008473606584983464
1,fluid,-0.023,0.0,0.08817107093184978,0.0,-0.0008614650819822175
1,fluid,-0.023,0.0,0.08829624478442281,0.0,-0.0008941719958606121
1,fluid,-0.023,0.0,0.08842141863699582,0.0,-0.000980122821103183
1,fluid,-0.023,0.0,0.08854659248956885,0.0,-0.0011279279268457528
1,fluid,-0.023,0.0,0.08867176634214187,0.0,-0.0013097645625720828
1,fluid,-0.023,0.0,0.08879694019471489,0.0,-0.001467299668106503
1,fluid,-0.023,0.0,0.0889221140472879,0.0,-0.001532779498082272
1,fluid,-0.023,0.0,0.08904728789986091,0.0,-0.001456924091756787
1,fluid,-0.023,0.0,0.08917246175243394,0.0,-0.0012314853526430628
1,fluid,-0.023,0.0,0.08929763560500695,0.0,-0.0008959313562875623
1,fluid,-0.023,0.0,0.08942280945757998,0.0,-0.0005242651918597077
1,fluid,-0.023,0.0,0.08954798331015298,0.0,-0.00019671907161511126
1,fluid,-0.023,0.0,0.08967315716272602,0.0,3.191980000970426e-05
1,fluid,-0.023,0.0,0.08979833101529903,0.0,0.00015359483207563797
1,fluid,-0.023,0.0,0.08992350486787204,0.0,0.00020827640856898287
1,fluid,-0.023,0.0,0.09004867872044507,0.0,0.0002643390058282216
1,fluid,-0.023,0.0,0.09017385257301808,0.0,0.0003864854490602056
1,fluid,-0.023,0.0,0.09029902642559111,0.0,0.0006055266024165022
1,fluid,-0.023,0.0,0.09042420027816411,0.0,0.0009037963590063246
1,fluid,-0.023,0.0,0.09054937413073713,0.0,0.0012230940551435354
1,fluid,-0.023,0.0,0.09067454798331015,0.0,0.0014917508419867581
1,fluid,-0.023,0.0,0.09079972183588317,0.0,0.0016583626734088073
1,fluid,-0.023,0.0,0.0909248956884562,0.0,0.001716185723164916
1,fluid,-0.023,0.0,0.0910500695410292,0.0,0.001706035863248282
1,fluid,-0.023,0.0,0.09117524339360224,0.0,0.0016952971728010982
1,fluid,-0.023,0.0,0.09130041724617524,0.0,0.001742021868824917
1,fluid,-0.023,0.0,0.09142559109874826,0.0,0.001860831734934734
1,fluid,-0.023,0.0,0.09155076495132128,0.0,0.002007584954025876
1,fluid,-0.023,0.0,0.09167593880389428,0.0,0.0020920148445103238
1,fluid,-0.023,0.0,0.09180111265646733,0.0,0.0020149423968880706
1,fluid,-0.023,0.0,0.09192628650904033,0.0,0.0017148016047427402
