Time_s,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,ElectrolyteConcentration_input_molL,FluidConductivity_input_S_m,cH_molL,pH,C_molL,zeta,omega0_rad_s,theta_deg,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,RE_abs_norm,TTM_abs_norm,L_abs_norm,sigma_abs_norm,Amax_waveform_spectral,Amax_waveform_spectral_RE,Amax_waveform_spectral_TE,Amax_waveform_spectral_norm,Amax_waveform_spectral_RE_norm,Amax_waveform_spectral_TE_norm
26.4,0.44,0.6836,0.6836,True,82204.84843438726,8.11298802928653e-11,1.1343481545258676,1.123929134580668e-05,,,0.01123929134580668,1.9492610708228333,0.012239291345806681,0.00038364813683602954,3141592.653589793,45.0,7428.050540904651,3.28176567646017e-05,5.611431721029523e-12,0.09323476477142222,-605344.2225730737,-273087.013322176,664091.9700220936,-2.6986076604576447e-11,-8.973123848561314e-11,9.370135266190158e-11,1.633975608682854e+26,0.00044884365731993284,0.00022445828933178105,0.00445667133218171,16.45271604705339,4287077368548.278,4287077368548.278,1070366204633.022,0.00041295549466869685,0.0004178709874008649,0.00010310371554142564
31.4,0.5233333333333333,0.70855,0.70855,True,101057.77744074281,9.973627520248346e-11,1.121163763847199,1.3023989643997526e-05,,,0.013023989643997527,1.8852559577832306,0.014023989643997526,0.0008336891424880283,3141592.653589793,45.0,6336.483447034828,3.5532097173586816e-05,1.1813424040950156e-11,0.1120312474668491,-1007823.5561751571,-481635.3781305797,1116996.4001054463,-1.630835392087367e-11,-3.4327723160369864e-11,3.800467056801663e-11,6.469719356091052e+26,0.0007549507780072208,9.103884949340049e-05,0.009382373496749846,19.769646091649822,7527260310427.812,7527260310427.812,1710779132418.686,0.0007250682079585055,0.0007336988414106782,0.00016479190417225303
36.4,0.6066666666666667,0.7322,0.7322,True,125217.7364952815,1.2358030172045365e-10,1.1092476792621802,1.5156491406504711e-05,,,0.015156491406504711,1.819401322394561,0.01615649140650471,0.001256653408712808,3141592.653589793,45.0,5341.361165788124,3.8700717894358765e-05,1.7079863452947944e-11,0.13480764992316618,-1106020.6752849817,-563110.8033173584,1241118.6530588313,-2.6950888173156826e-11,-2.7007370595399312e-11,3.815427157998491e-11,7.570604715903652e+26,0.0008388419986291683,9.139721344733257e-05,0.013565047494575178,23.788894524419565,9060608413914.213,9060608413914.213,1872874545995.8123,0.0008727689537439625,0.0008831576990309871,0.00018040584951141455
41.4,0.69,0.75355,0.75355,True,155980.90782297455,1.5394119228564586e-10,1.0974665321322572,1.7362056740974645e-05,,,0.017362056740974643,1.7603988287939163,0.018362056740974644,0.0016006300766711796,3141592.653589793,45.0,4460.319234869481,4.2350839335988285e-05,2.0683179659299305e-11,0.15937069723990596,-829456.2071941355,-405539.76069037826,923287.6567753357,-5.389350788507017e-11,-1.3055961532334173e-11,5.545239691566011e-11,8.409569192700052e+26,0.0006240277361155346,0.00013283426329977385,0.016426847626161842,28.123424071884326,9296258759621.021,9296258759621.021,1763279178424.0537,0.0008954681253973907,0.0009061270635132532,0.00016984900499047724
46.4,0.7733333333333333,0.77515,0.77515,True,200539.8464935528,1.9791744708291057e-10,1.0874792807322806,2.0039427856498758e-05,,,0.02003942785649876,1.6981146821217858,0.02103942785649876,0.0019274865466098912,3141592.653589793,45.0,3601.4772826645003,4.7130782864222556e-05,2.3238043474021598e-11,0.18956801653109598,-620638.9046361212,751729.9236427048,974828.4608318488,3.2186768619060836e-11,1.0408838149756159e-10,1.0895127001058263e-10,1.0794075099619445e+27,0.000658862915636175,0.0002609889291069287,0.01845595336722078,33.4522080388756,8781803572400.145,8781803572400.145,1523362972474.0005,0.0008459128974273354,0.0008559819696470603,0.00014673892159567008
51.4,0.8566666666666667,0.7919,0.7919,True,263667.0978609036,2.602192023223059e-10,1.077106373550207,2.430016171028845e-05,,,0.02430016171028845,1.6143908362925412,0.02530016171028845,0.0023076331224240448,3141592.653589793,45.0,2825.350980769536,5.321190297218773e-05,2.5422521027384456e-11,0.23512641296608394,-3653624.2642904287,-162256.4448012254,3657225.3715749197,1.9691516342657015e-10,-3.4638174312772685e-10,3.984418320903509e-10,4.297982421829748e+26,0.0024718299354927085,0.0009544533722145942,0.02019089356998253,41.49169161500295,7809563389876.056,7809563389876.056,1212322965588.3843,0.0007522612343021199,0.0007612155518439423,0.00011677779216807129
56.4,0.94,0.80795,0.80795,True,349990.08251301653,3.4541336720101857e-10,1.0745004355600827,2.9001059119451582e-05,,,0.029001059119451583,1.5375861413653769,0.030001059119451584,0.002596138018148609,3141592.653589793,45.0,2176.901351700386,6.0621352145667296e-05,2.568113405338411e-11,0.28515487309657317,-1609168.9897542328,-1099618.6722154054,1948996.1677415967,-1.9026894197994074e-10,-3.041737669962449e-11,1.9268494255507595e-10,2.739425729215318e+26,0.0013172792437206673,0.0004615699918651221,0.02039628736543443,50.319987056260544,6497466475392.315,6497466475392.315,912751913179.2224,0.0006258726521064631,0.0006333225408049057,8.792141718318527e-05
61.4,1.0233333333333332,0.8218,0.8218,True,442767.238732758,4.3697730438202134e-10,1.069308541492342,3.303267977090628e-05,,,0.03303267977090628,1.4810561928084602,0.03403267977090628,0.0027714293990561073,3141592.653589793,45.0,1758.7504425562001,6.744393227792775e-05,2.5189338493239516e-11,0.33061725310681167,-1023313.4900475256,-845616.9442308092,1327493.3202406326,5.407613209713193e-11,-2.387981808504551e-11,5.911407424938099e-11,4.257023891322485e+26,0.0008972205414632006,0.00014160568235684496,0.020005696998634324,58.34252704942151,5494673985558.725,5494673985558.725,714724138411.6533,0.0005292780182593223,0.0005355781215044366,6.884626395939947e-05
66.4,1.1066666666666667,0.83425,0.83425,True,578850.469244243,5.712810153130769e-10,1.0635418930332383,3.668188222651691e-05,,,0.03668188222651691,1.4355483878434203,0.03768188222651691,0.0028896180570788742,3141592.653589793,45.0,1373.0672921063212,7.633067141895843e-05,2.3687563442910928e-11,0.37362884598464874,-736076.5060965711,-649188.4041781609,981455.147699946,3.58016248194438e-11,-1.4797809039725457e-11,3.873927583329862e-11,3.683007386889496e+26,0.0006633417325833092,9.279857052725019e-05,0.018812967915056128,65.93258775355304,4573194551836.257,4573194551836.257,558048491597.9427,0.0004405159170265307,0.000445759467037375,5.3754381151974634e-05
71.4,1.1900000000000002,0.84605,0.84605,True,669868.2074469182,6.611085418585972e-10,1.0575881160642235,3.9666447103846834e-05,,,0.039666447103846834,1.4015766972393584,0.040666447103846835,0.00296448063403719,3141592.653589793,45.0,1210.0594265242837,8.13095661712393e-05,2.3267828876041733e-11,0.41122722655408267,-599791.5998337755,-544683.9732567987,810204.0446418254,-3.426278026162382e-11,-1.7832773288611387e-11,3.862571571400756e-11,2.489729061834361e+26,0.0005475972651202824,9.252654126205528e-05,0.01847960931705675,72.56740343474789,4077616819800.085,4077616819800.085,473123071664.1386,0.0003927790721118123,0.0003974544008076135,4.5573885260764093e-05
