Time_s,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,ElectrolyteConcentration_input_molL,FluidConductivity_input_S_m,cH_molL,pH,C_molL,zeta,omega0_rad_s,theta_deg,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,RE_abs_norm,TTM_abs_norm,L_abs_norm,sigma_abs_norm,Amax_waveform_schakel2011,Amax_waveform_schakel2011_RE,Amax_waveform_schakel2011_TE,Amax_waveform_spectral,Amax_waveform_spectral_RE,Amax_waveform_spectral_TE,Amax_waveform_schakel2011_norm,Amax_waveform_schakel2011_RE_norm,Amax_waveform_schakel2011_TE_norm,Amax_waveform_spectral_norm,Amax_waveform_spectral_RE_norm,Amax_waveform_spectral_TE_norm
102.4,1.7066666666666668,0.5527,0.5527,True,19802.5074415921,1.9543555992530635e-11,1.22660304735036,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23055.887155955254,1.862747866101359e-05,1.2416274473109072e-09,0.00570927768650223,1446876916.0744033,50505545.483511865,1447758136.0135963,-8.1050234837402e-08,3.996101892934051e-07,4.0774678901777883e-07,1.4080571275017147e+27,0.9785046237061434,0.9764562606137223,0.9861165219063032,1.0074903373583797,1.435610689931774,1.435610689931774,1.1458592233226115,1.435610689931774,1.435610689931774,1.1458592233226115,0.9823661862624197,0.9823661862624197,0.9543238807862059,0.9823661862624197,0.9823661862624197,0.9543238807862059
204.8,3.4133333333333336,0.56015,0.56015,True,20513.3814918231,2.0245134156068977e-11,1.2301251315222,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,22492.327065985493,1.8859396814894152e-05,1.239329580942726e-09,0.005769506556925589,1430432643.1292684,57721680.88755488,1431596779.4648986,-8.743642442927049e-08,3.9727990341719394e-07,4.0678796685269646e-07,1.3849061284086577e+27,0.9675815546417152,0.9741601103284798,0.9842915268196499,1.0181186529375994,1.4267096069325953,1.4267096069325953,1.0992701054947556,1.4267096069325953,1.4267096069325953,1.0992701054947556,0.9762753128655909,0.9762753128655909,0.9155223362134243,0.9762753128655909,0.9762753128655909,0.9155223362134243
409.6,6.826666666666667,0.5718,0.5718,True,21430.1443872753,2.114990881816622e-11,1.2319199734279,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,21945.887826952217,1.9092746923624726e-05,1.2478213879254942e-09,0.00588075896678847,1416037080.9764555,70463937.47295143,1417789187.850053,-9.761979603510754e-08,4.011939611122099e-07,4.128997687221941e-07,1.332472602070458e+27,0.9582493382298121,0.9887964173696161,0.9910358293756888,1.037750861090599,1.4263470895892663,1.4263470895892663,1.0290382225892611,1.4263470895892663,1.4263470895892663,1.0290382225892611,0.9760272478556842,0.9760272478556842,0.8570300173621203,0.9760272478556842,0.9760272478556842,0.8570300173621203
819.2,13.653333333333334,0.58865,0.58865,True,22801.1420343216,2.250297834028139e-11,1.22062746622211,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,21430.584099843407,1.932092832708488e-05,1.2811643618080217e-09,0.0061099038966607126,1408574836.9651005,94907672.95413157,1411768585.0438902,-1.1883860759251054e-07,4.171912886239215e-07,4.3378702834249765e-07,1.2264842259622348e+27,0.9541801587606847,1.038816419911979,1.0175172489885218,1.0781870275161252,1.4472216786980254,1.4472216786980254,0.949387490202344,1.4472216786980254,1.4472216786980254,0.949387490202344,0.9903114062534886,0.9903114062534886,0.7906932506007244,0.9903114062534886,0.9903114062534886,0.7906932506007244
1269.2,21.153333333333332,0.6039,0.6039,True,24448.1162310331,2.412841554951475e-11,1.20379736595142,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,20791.35707079853,1.9615689346261996e-05,1.3127029106333765e-09,0.006355617189818246,1395973528.8112416,119080995.09922113,1401043317.151733,-1.3856237941615723e-07,4.3310609322911617e-07,4.547311524204769e-07,1.1295011562760004e+27,0.9469312102230096,1.0889725992611232,1.042565570963836,1.1215469378602978,1.4620685817577004,1.4620685817577004,0.9204223074308465,1.4620685817577004,1.4620685817577004,0.9204223074308465,1.000470912336042,1.000470912336042,0.7665697238466924,1.000470912336042,1.000470912336042,0.7665697238466924
1719.2,28.653333333333332,0.6176,0.6176,True,26601.378262903,2.6253520019772498e-11,1.19961590465876,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,19609.997183158008,2.0197900473470525e-05,1.3083272777222317e-09,0.0065220508724624544,1356032469.1039886,132192612.38588706,1362460621.0946667,-1.5241142656546737e-07,4.300265867649511e-07,4.562368992885548e-07,1.0836200941508906e+27,0.9208541013829641,1.0925785036994538,1.0390903869085688,1.1509167349313771,1.4315681257760153,1.4315681257760153,0.871220947123199,1.4315681257760153,1.4315681257760153,0.871220947123199,0.9795999221489903,0.9795999221489903,0.7255925844624987,0.9795999221489903,0.9795999221489903,0.7255925844624987
2169.2,36.15333333333333,0.63155,0.63155,True,29142.1510259923,2.876106785967071e-11,1.20661132634772,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,18198.489189134292,2.0966566986488547e-05,1.2813552889436475e-09,0.006630192279312014,1300360077.1613796,137187340.13502327,1307576650.360686,-1.5853142544080723e-07,4.1802724244614437e-07,4.47078279811737e-07,1.0654325217229468e+27,0.8837593562078983,1.0706457955394206,1.0176688857804825,1.1699999584934142,1.3810102497302492,1.3810102497302492,0.8225857854920782,1.3810102497302492,1.3810102497302492,0.8225857854920782,0.9450039496998246,0.9450039496998246,0.6850870011885855,0.9450039496998246,0.9450039496998246,0.6850870011885855
2619.2,43.65333333333333,0.64575,0.64575,True,31134.7397674249,3.0727600115908216e-11,1.20564024916211,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,17430.82868046343,2.1423280605083147e-05,1.2832660399478959e-09,0.006784436586877359,1267779841.2196295,146773477.5695208,1276247695.2068198,-1.719779766034511e-07,4.250363353571828e-07,4.5851097130873617e-07,1.0163967728216574e+27,0.8625848749797349,1.0980243635345284,1.019186428855597,1.1972187518325457,1.3672915016463296,1.3672915016463296,0.7931734310662092,1.3672915016463296,1.3672915016463296,0.7931734310662092,0.935616422614654,0.935616422614654,0.6605910494630637,0.935616422614654,0.935616422614654,0.6605910494630637
3069.2,51.15333333333333,0.6596,0.6596,True,32748.0292035543,3.2319793050068184e-11,1.18435844849789,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,17231.73127741095,2.1546688683854712e-05,1.3267002337807582e-09,0.0070543935761273715,1259677467.0641422,166912654.85417256,1270687670.2713382,-2.0033827071765693e-07,4.577690371208112e-07,4.99687816602182e-07,9.22773744640841e+26,0.8588269889268404,1.1966330821364908,1.0536824254180355,1.244856837262294,1.389900973278648,1.389900973278648,0.7829212589877673,1.389900973278648,1.389900973278648,0.7829212589877673,0.9510877342847451,0.9510877342847451,0.6520525724449038,0.9510877342847451,0.9510877342847451,0.6520525724449038
3519.2,58.65333333333333,0.6743,0.6743,True,34099.1326719156,3.365322854370476e-11,1.1743870324438,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,17061.420140206086,2.165396371256331e-05,1.3610066379547303e-09,0.007272770645590466,1244932267.565373,180505829.69334325,1257950199.880243,-2.2952280143149195e-07,4.942695878933584e-07,5.44961596714145e-07,8.486390417779115e+26,0.8502180415053288,1.3050529819926433,1.0809290137859213,1.2833928482019714,1.3960882230434912,1.3960882230434912,0.7775032988875332,1.3960882230434912,1.3960882230434912,0.7775032988875332,0.9553215735822436,0.9553215735822436,0.6475402478909262,0.9553215735822436,0.9553215735822436,0.6475402478909262
