time_us,z_m,r_m,model_unscaled_mv,model_scaled_mv,salinity_key,plot_position_cm
105.58272980501393,-0.013,-0.009999999999999998,0.44782044478872207,0.0850858845098572,1e-3,-0.9999999999999999
105.59721448467967,-0.013,-0.009999999999999998,0.4277094736287984,0.0812647999894717,1e-3,-0.9999999999999999
105.6116991643454,-0.013,-0.009999999999999998,0.40723574457512335,0.07737479146927344,1e-3,-0.9999999999999999
105.62618384401114,-0.013,-0.009999999999999998,0.38645283028944627,0.07342603775499479,1e-3,-0.9999999999999999
105.64066852367687,-0.013,-0.009999999999999998,0.3654143141082817,0.06942871968057351,1e-3,-0.9999999999999999
105.65515320334262,-0.013,-0.009999999999999998,0.34417360416379883,0.06539298479112178,1e-3,-0.9999999999999999
105.66963788300836,-0.013,-0.009999999999999998,0.32278375045768637,0.06132891258696041,1e-3,-0.9999999999999999
105.68412256267409,-0.013,-0.009999999999999998,0.30129726563606046,0.057246480470851485,1e-3,-0.9999999999999999
105.69860724233983,-0.013,-0.009999999999999998,0.27976595019086253,0.05315553053626388,1e-3,-0.9999999999999999
105.71309192200556,-0.013,-0.009999999999999998,0.25824072278611676,0.04906573732936219,1e-3,-0.9999999999999999
105.7275766016713,-0.013,-0.009999999999999998,0.2367714563780062,0.04498657671182118,1e-3,-0.9999999999999999
105.74206128133704,-0.013,-0.009999999999999998,0.21540682076523052,0.0409272959453938,1e-3,-0.9999999999999999
105.75654596100279,-0.013,-0.009999999999999998,0.1941941321703812,0.03689688511237243,1e-3,-0.9999999999999999
105.77103064066853,-0.013,-0.009999999999999998,0.17317921041544146,0.032904049978933876,1e-3,-0.9999999999999999
105.78551532033426,-0.013,-0.009999999999999998,0.1524062442136096,0.028957186400585824,1e-3,-0.9999999999999999
105.8,-0.013,-0.009999999999999998,0.13191766505775598,0.025064356360973636,1e-3,-0.9999999999999999
100.60000000000001,-0.013,-0.0049999999999999975,0.04242518510521397,0.008060785169990654,1e-3,-0.4999999999999998
100.61448467966574,-0.013,-0.0049999999999999975,0.04188292283780855,0.007957755339183624,1e-3,-0.4999999999999998
100.62896935933148,-0.013,-0.0049999999999999975,0.041311399650705155,0.007849165933633979,1e-3,-0.4999999999999998
