panel,z_cm,r_cm,dipole_vpp_mv
z,-0.8251396648044689,0.0,0.3228209721255142
z,-0.8025139664804466,0.0,0.34128049731231525
z,-0.7798882681564243,0.0,0.3613698330165601
z,-0.757262569832402,0.0,0.383286645483427
z,-0.7346368715083798,0.0,0.40725950208908634
z,-0.7120111731843575,0.0,0.4335538548413436
z,-0.6893854748603347,0.0,0.46247942053749985
z,-0.6667597765363125,0.0,0.49439934297090743
z,-0.6441340782122902,0.0,0.5297416464759912
z,-0.6215083798882679,0.0,0.5690136598914285
z,-0.5988826815642456,0.0,0.6128203251176491
z,-0.5762569832402233,0.0,0.6618876335800382
z,-0.5536312849162006,0.0,0.7170929001782962
z,-0.5310055865921783,0.0,0.7795042532779213
z,-0.508379888268156,0.0,0.8504326923076936
z,-0.4857541899441338,0.0,0.9315015007666704
z,-0.4631284916201115,0.0,1.0247399565800073
z,-0.4405027932960892,0.0,1.1327115691682401
z,-0.4178770949720665,0.0,1.258692185399929
z,-0.3952513966480442,0.0,1.406921424914786
z,-0.3726256983240219,0.0,1.5829640932906899
z,-0.35,0.0,1.7942401922536757
r,-1.3,-2.5,0.024553561643576274
r,-1.3,-2.4720670391061454,0.025212168115834974
r,-1.3,-2.4441340782122905,0.025892843092534198
r,-1.3,-2.416201117318436,0.026596434971202947
r,-1.3,-2.388268156424581,0.027323826533817465
r,-1.3,-2.3603351955307263,0.02807593621187708
r,-1.3,-2.3324022346368714,0.028853719370705765
r,-1.3,-2.304469273743017,0.029658169608853372
r,-1.3,-2.276536312849162,0.030490320067679523
r,-1.3,-2.2486033519553073,0.03135124474530639
r,-1.3,-2.2206703910614527,0.03224205980811825
r,-1.3,-2.1927374301675977,0.033163924891849064
r,-1.3,-2.164804469273743,0.034118044383024834
r,-1.3,-2.136871508379888,0.03510566867009909
r,-1.3,-2.1089385474860336,0.03612809535202262
r,-1.3,-2.0810055865921786,0.03718667039020828
r,-1.3,-2.053072625698324,0.03828278918786826
r,-1.3,-2.0251396648044695,0.03941789757850032
r,-1.3,-1.9972067039106145,0.04059349270285943
r,-1.3,-1.96927374301676,0.04181112375105584
r,-1.3,-1.941340782122905,0.0430723925434479
r,-1.3,-1.9134078212290504,0.04437895392073042
r,-1.3,-1.8854748603351956,0.04573251591003779
r,-1.3,-1.8575418994413408,0.047134839629966035
r,-1.3,-1.829608938547486,0.04858773889315641
r,-1.3,-1.8016759776536313,0.05009307946045726
r,-1.3,-1.7737430167597765,0.05165277789568406
r,-1.3,-1.7458100558659218,0.05326879996462177
r,-1.3,-1.7178770949720672,0.05494315851616118
r,-1.3,-1.6899441340782122,0.05667791077733945
r,-1.3,-1.6620111731843576,0.05847515498758366
r,-1.3,-1.6340782122905029,0.06033702629066762
r,-1.3,-1.606145251396648,0.0622656917958291
r,-1.3,-1.5782122905027933,0.06426334471222891
r,-1.3,-1.5502793296089385,0.06633219745354477
r,-1.3,-1.522346368715084,0.06847447360210226
r,-1.3,-1.494413407821229,0.07069239861469427
r,-1.3,-1.4664804469273744,0.07298818914530944
r,-1.3,-1.4385474860335197,0.07536404085360617
r,-1.3,-1.410614525139665,0.07782211456239621
r,-1.3,-1.3826815642458101,0.08036452062296952
r,-1.3,-1.3547486033519553,0.08299330134417623
r,-1.3,-1.3268156424581006,0.08571041134023412
r,-1.3,-1.2988826815642458,0.0885176956537627
r,-1.3,-1.2709497206703912,0.09141686551514824
r,-1.3,-1.2430167597765365,0.09440947160768158
r,-1.3,-1.2150837988826817,0.0974968747207176
