TimeStep,Time_s,Porosity,Permeability_mD,k_k0,DissolutionRate,SurfaceArea_cm2,GrainVolume_cm3,InjectedPV,OutletHConc,Tortuosity,PoreVolumeToSurface_m,C_molL,pH,Lambda_m,L_abs,RE_abs,TTM_abs,valid_poroelastic
24,5319.2,0.7365,41102.9384991006,2.18314067155104,8.15824695362784e-09,0.46527539575666,0.000630436252214207,162.636539797367,1.31536507814765e-15,1.12038213197898,3.7872434489113077e-05,0.0010001,7.0,2.22187612161171e-05,1.518594606468097e-09,1109635936.474073,9.750816876531363e-07,True
25,5769.2,0.75115,44540.0525416459,2.3656994795838,8.59705893769584e-09,0.443261263757643,0.000594325680899816,176.3954589786,2.78458255510668e-15,1.11048806370079,4.047191392751577e-05,0.0010001,7.0,2.280109314512213e-05,1.5226904796652703e-09,957157724.6569346,1.2685028530970375e-06,True
26,6219.2,0.7653,47405.3340968944,2.51788598807017,9.02402336015878e-09,0.419937245057383,0.000560682632510128,190.154378159833,9.99743003044623e-15,1.10464981505447,4.35362815187001e-05,0.0010001,7.0,2.3243244779480343e-05,1.529904896445217e-09,728452476.8839793,2.0290431083573925e-06,True
27,6669.2,0.7804,50972.6847053333,2.70736217851665,9.52523274231853e-09,0.400662850976123,0.0005227457456593,203.913297341066,2.77295831303905e-14,1.09799679660201,4.636565026063691e-05,0.0010001,7.0,2.3795638080923302e-05,1.5331068923471755e-09,907853369.29177,3.785938910631376e-06,True
28,7119.2,0.79425,55229.8850057114,2.93347903200872,9.98345609086463e-09,0.372322115392624,0.00048948165799291,217.672216522299,7.03873657780734e-14,1.08542198582978,5.0749874030549126e-05,0.0010001,7.0,2.4411499627129864e-05,1.5385699106907775e-09,2500618784.30782,6.545590319536345e-06,True
29,7569.2,0.8078,62701.3739978356,3.33031955220922,1.07433850649772e-08,0.345504690670545,0.00045695659766177,231.431135703532,2.59925567792322e-13,1.07498664205791,5.558677393497241e-05,0.0010001,7.0,2.5666983589199815e-05,1.5027200573439375e-09,2266526152.5099897,4.058415533648807e-06,True
30,8019.2,0.82375,72510.8002816605,3.85133722799579,1.1577264503237e-08,0.319808001741603,0.000418382495130951,245.190054884765,1.57076409245223e-12,1.07137341733354,6.114352627308199e-05,0.0010001,7.0,2.728731241909009e-05,1.446255039417063e-09,1719646314.7961955,2.357473765842334e-06,True
31,8469.2,0.83965,87727.5741671511,4.65956065854048,1.25074851354229e-08,0.298047400214856,0.000378745722720842,258.948974065998,8.77029178748822e-12,1.06995132308093,6.654136829198355e-05,0.0010001,7.0,2.970897160910311e-05,1.355802623242229e-09,1390248851.5893884,1.5629323644649656e-06,True
32,8919.2,0.85615,108230.266466499,5.74854025633691,1.34206164309546e-08,0.27545537261871,0.000338597238945048,272.707893247231,6.48662836803161e-11,1.06257754493758,7.315974106097948e-05,0.0010001,7.0,3.256615194856855e-05,1.2699055921302215e-09,1153457924.7551358,1.1070721936135947e-06,True
33,9369.2,0.87075,137344.031536101,7.29488820483752,1.45209789250998e-08,0.251240823049388,0.000302996017068638,286.466812428464,2.23064398095441e-10,1.05121977839913,8.124743209753122e-05,0.0010002230643980955,6.651569739193987,3.6181920114527665e-05,1.0931426156580755e-09,905145566.6253194,7.116874988858952e-07,True
