scan,scan_value,Porosity_used,k0_m2,Permeability_mD,Tortuosity,C_molL,pH,eta_Pa_s,K_f_Pa,Lambda_m,debye_d_m,L_abs,R_E_abs,T_TM_abs,RE_EE,TE_TM_TM,minus_TE_TM_TM,RE_Pr_Pr,matrix_cond
electrolyte_concentration_molL,8.697490026177834e-05,0.24,3.9e-13,395.1674866729765,2.3,8.697490026177834e-05,7.0,0.001,2220000000.0,5.468089245796927e-06,3.275474293890974e-08,2.4142524755570048e-09,562952052.7908379,1.668270914839529e-05,1.5845750687070923e-06,-2.9657274688789097e-05,2.9657274688789097e-05,-0.05697813950877097,8.555189457881472e+25
electrolyte_concentration_molL,0.0001,0.24,3.9e-13,395.1674866729765,2.3,0.0001,7.0,0.001,2220000000.0,5.468089245796927e-06,3.054718289112674e-08,2.3775052517978007e-09,552552889.8671356,1.4880356740595775e-05,1.5265734805026148e-06,-2.7796728255430874e-05,2.7796728255430874e-05,-0.05697941511527228,8.65868052317535e+25
electrolyte_concentration_molL,0.00011497569953977356,0.24,3.9e-13,395.1674866729765,2.3,0.00011497569953977356,7.0,0.001,2220000000.0,5.468089245796927e-06,2.848840500211863e-08,2.340437866942092e-09,541884078.9087322,1.3142461694065565e-05,1.4681917748738257e-06,-2.5580168717296325e-05,2.5580168717296325e-05,-0.056980455278242,8.76275220762659e+25
electrolyte_concentration_molL,0.00013219411484660288,0.24,3.9e-13,395.1674866729765,2.3,0.00013219411484660288,7.0,0.001,2220000000.0,5.468089245796927e-06,2.65683818523405e-08,2.303074923668716e-09,530931337.0361586,1.1501269941621582e-05,1.4094404232350156e-06,-2.3137904771111963e-05,2.3137904771111963e-05,-0.05698125996972478,8.865871156897428e+25
electrolyte_concentration_molL,0.0001519911082952933,0.24,3.9e-13,395.1674866729765,2.3,0.0001519911082952933,7.0,0.001,2220000000.0,5.468089245796927e-06,2.477776183676415e-08,2.265439200136561e-09,519678616.92608005,9.977675906399082e-06,1.3503293244510178e-06,-2.0599963979677048e-05,2.0599963979677048e-05,-0.056981854967775865,8.969514093610982e+25
electrolyte_concentration_molL,0.00017475284000076848,0.24,3.9e-13,395.1674866729765,2.3,0.00017475284000076848,7.0,0.001,2220000000.0,5.468089245796927e-06,2.3107823617241555e-08,2.227551778065689e-09,508108251.2096673,8.59066082755269e-06,1.290869974736732e-06,-1.8080700111581095e-05,1.8080700111581095e-05,-0.056982260770031656,9.069827169889368e+25
electrolyte_concentration_molL,0.00020092330025650479,0.24,3.9e-13,395.1674866729765,2.3,0.00020092330025650479,7.0,0.001,2220000000.0,5.468089245796927e-06,2.155043364462659e-08,2.189432162851353e-09,496201212.4126549,7.343983456875807e-06,1.2310782159989437e-06,-1.5669725533441304e-05,1.5669725533441304e-05,-0.056982519166513416,9.169173758362831e+25
electrolyte_concentration_molL,0.00023101297000831605,0.24,3.9e-13,395.1674866729765,2.3,0.00023101297000831605,7.0,0.001,2220000000.0,5.468089245796927e-06,2.0098006543763505e-08,2.151098396033804e-09,483937492.5079711,6.239768671765021e-06,1.1709774832745133e-06,-1.342921915038089e-05,1.342921915038089e-05,-0.05698265939919604,9.264523576664241e+25
electrolyte_concentration_molL,0.00026560877829466864,0.24,3.9e-13,395.1674866729765,2.3,0.00026560877829466864,7.0,0.001,2220000000.0,5.468089245796927e-06,1.8743468168394698e-08,2.1125671604678716e-09,471296571.6027782,5.273335820354466e-06,1.1106022920226635e-06,-1.1395945213486413e-05,1.1395945213486413e-05,-0.05698271167442596,9.353364625398651e+25
electrolyte_concentration_molL,0.0003053855508833416,0.24,3.9e-13,395.1674866729765,2.3,0.0003053855508833416,7.0,0.001,2220000000.0,5.468089245796927e-06,1.748022114604399e-08,2.0738538785484177e-09,458257994.4590783,4.433452631780158e-06,1.0500019474282837e-06,-9.585861190143554e-06,9.585861190143554e-06,-0.05698270604675921,9.438194059000064e+25
