frequency_Hz,theta_deg,Time_s,Porosity,RE_abs,TTM_abs,RE_phase_rad,TTM_phase_rad,L_abs,sigma_abs,matrix_cond,case,Pe,stage_Time_norm
269565.2173913043,35.434782608695656,0.1,0.545,639501431.1663905,3.9540784515686794e-07,-0.22094320887264982,1.4895387005044372,1.7203489858331714e-09,0.0056668657787770655,1.3787617122576486e+26,Pe0p1,0.1,6.983630370411755e-06
269565.2173913043,38.47826086956522,0.1,0.545,636347458.3517687,3.954161846306486e-07,-0.023191569433581617,1.6726091963814338,1.7203489858331714e-09,0.0056668657787770655,1.4796922500507139e+26,Pe0p1,0.1,6.983630370411755e-06
269565.2173913043,41.52173913043478,0.1,0.545,622722104.896865,3.9610750826202814e-07,0.08747710977725387,1.7762600123022199,1.7203489858331714e-09,0.0056668657787770655,1.5764484231081687e+26,Pe0p1,0.1,6.983630370411755e-06
269565.2173913043,44.56521739130435,0.1,0.545,606564840.0587521,3.9985138768665247e-07,0.15908426755690117,1.8453892425229534,1.7203489858331714e-09,0.0056668657787770655,1.6687573536438903e+26,Pe0p1,0.1,6.983630370411755e-06
269565.2173913043,47.608695652173914,0.1,0.545,589128349.9229698,4.0654176799784975e-07,0.2096681481688662,1.89571460148524,1.7203489858331714e-09,0.0056668657787770655,1.7563587368816228e+26,Pe0p1,0.1,6.983630370411755e-06
269565.2173913043,50.652173913043484,0.1,0.545,570269759.6562936,4.158955160643373e-07,0.24778130498174578,1.9338551604923473,1.7203489858331714e-09,0.0056668657787770655,1.839005666013458e+26,Pe0p1,0.1,6.983630370411755e-06
269565.2173913043,53.69565217391305,0.1,0.545,549441643.3561305,4.277460264402133e-07,0.278242204351281,1.9627361513215957,1.7203489858331714e-09,0.0056668657787770655,1.916464620438848e+26,Pe0p1,0.1,6.983630370411755e-06
269565.2173913043,56.73913043478261,0.1,0.545,525894862.2990721,4.420895085815095e-07,0.3043180209599763,1.9834155224270607,1.7203489858331714e-09,0.0056668657787770655,1.9885175000969975e+26,Pe0p1,0.1,6.983630370411755e-06
269565.2173913043,59.78260869565218,0.1,0.545,498671535.9193646,4.591636251978064e-07,0.32887238762419263,1.9957075428906228,1.7203489858331714e-09,0.0056668657787770655,2.0549606681543386e+26,Pe0p1,0.1,6.983630370411755e-06
269565.2173913043,62.82608695652174,0.1,0.545,466462585.73724025,4.797559374833688e-07,0.35543038498715757,1.9982003229316778,1.7203489858331714e-09,0.0056668657787770655,2.1156068437728574e+26,Pe0p1,0.1,6.983630370411755e-06
269565.2173913043,65.86956521739131,0.1,0.545,427077010.37359774,5.065060784006173e-07,0.39022208168863,1.9876900223476084,1.7203489858331714e-09,0.0056668657787770655,2.170284734621227e+26,Pe0p1,0.1,6.983630370411755e-06
269565.2173913043,68.91304347826087,0.1,0.545,374019120.9943667,5.519131611327214e-07,0.4478820445267672,1.9607532748099394,1.7203489858331714e-09,0.0056668657787770655,2.218839575882317e+26,Pe0p1,0.1,6.983630370411755e-06
269565.2173913043,71.95652173913044,0.1,0.545,287775412.99845755,6.428045123739832e-07,0.48827740374398454,2.0047499955885377,1.7203489858331714e-09,0.0056668657787770655,2.2611326073933998e+26,Pe0p1,0.1,6.983630370411755e-06
269565.2173913043,75.0,0.1,0.545,208129282.83793342,6.825207933178448e-07,0.3999913657629483,2.1380934052851113,1.7203489858331714e-09,0.0056668657787770655,2.2970475329826313e+26,Pe0p1,0.1,6.983630370411755e-06
304347.82608695654,5.0,0.1,0.545,398912620.7829668,2.2887683360374165e-07,0.5469532687920244,1.604163620465846,1.6181599499828142e-09,0.005666859800558094,3.155890563626346e+25,Pe0p1,0.1,6.983630370411755e-06
304347.82608695654,8.043478260869566,0.1,0.545,397580565.9718898,2.2992247306262142e-07,0.5129713921010389,1.6401605583500607,1.6181599499828142e-09,0.005666859800558094,5.066636280213083e+25,Pe0p1,0.1,6.983630370411755e-06
304347.82608695654,11.08695652173913,0.1,0.545,395500565.6812268,2.3055419274080503e-07,0.47893444874013374,1.6758032122522362,1.6181599499828142e-09,0.005666859800558094,6.963089110472658e+25,Pe0p1,0.1,6.983630370411755e-06
304347.82608695654,14.130434782608695,0.1,0.545,392183190.43667334,2.3047219229629327e-07,0.44477909282349126,1.7111495235866605,1.6181599499828142e-09,0.005666859800558094,8.839899155767175e+25,Pe0p1,0.1,6.983630370411755e-06
304347.82608695654,17.17391304347826,0.1,0.545,386709352.51202327,2.291197146790072e-07,0.4103624685714348,1.7463025023990122,1.6181599499828142e-09,0.005666859800558094,1.0691771678108166e+26,Pe0p1,0.1,6.983630370411755e-06
304347.82608695654,20.217391304347828,0.1,0.545,377231311.3767192,2.2538281283058156e-07,0.37533572619365885,1.7814429949137653,1.6181599499828142e-09,0.005666859800558094,1.2513482351729671e+26,Pe0p1,0.1,6.983630370411755e-06
304347.82608695654,23.26086956521739,0.1,0.545,359495506.7275942,2.1670003992088383e-07,0.33870502115765266,1.8168499656421904,1.6181599499828142e-09,0.005666859800558094,1.4299891068223268e+26,Pe0p1,0.1,6.983630370411755e-06
304347.82608695654,26.304347826086957,0.1,0.545,320892666.1347294,1.9546594475443225e-07,0.296454441419443,1.8523197152087774,1.6181599499828142e-09,0.005666859800558094,1.604595633899896e+26,Pe0p1,0.1,6.983630370411755e-06
304347.82608695654,29.347826086956523,0.1,0.545,191690308.7872714,1.1938810671130902e-07,0.19141505278975313,1.8539635798640068,1.6181599499828142e-09,0.005666859800558094,1.774674168367714e+26,Pe0p1,0.1,6.983630370411755e-06
304347.82608695654,32.39130434782609,0.1,0.545,686805203.8595184,3.6994908293737855e-07,-0.7291680097341119,1.0159084383930765,1.6181599499828142e-09,0.005666859800558094,1.93976376947913e+26,Pe0p1,0.1,6.983630370411755e-06
304347.82608695654,35.434782608695656,0.1,0.545,765340254.6078187,3.9886066836735994e-07,-0.2410545802025608,1.4781948791497388,1.6181599499828142e-09,0.005666859800558094,2.0993720685467796e+26,Pe0p1,0.1,6.983630370411755e-06
