z_m,z_mm,side,distance_from_interface_m,distance_from_interface_mm,peak_abs,peak_signed,peak_time_s,peak_time_us,liu_dipole_peak_distance_m,liu_dipole_peak_distance_mm
-0.07799999999999999,-77.99999999999999,R_E,0.07799999999999999,77.99999999999999,1325363917165.2454,1325363917165.2454,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.07699999999999999,-76.99999999999999,R_E,0.07699999999999999,76.99999999999999,1325175369683.4924,1325175369683.4924,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.07599999999999998,-75.99999999999999,R_E,0.07599999999999998,75.99999999999999,1324965412138.3071,1324965412138.3071,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.07499999999999998,-74.99999999999999,R_E,0.07499999999999998,74.99999999999999,1324732647511.802,1324732647511.802,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.07399999999999998,-73.99999999999999,R_E,0.07399999999999998,73.99999999999999,1324475585538.9504,1324475585538.9504,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.07299999999999998,-72.99999999999999,R_E,0.07299999999999998,72.99999999999999,1324192636320.6917,1324192636320.6917,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.07199999999999998,-71.99999999999999,R_E,0.07199999999999998,71.99999999999999,1323882103489.91,1323882103489.91,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.07099999999999998,-70.99999999999999,R_E,0.07099999999999998,70.99999999999999,1323542176898.5344,1323542176898.5344,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.06999999999999998,-69.99999999999999,R_E,0.06999999999999998,69.99999999999999,1323170924791.9211,1323170924791.9211,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.06899999999999998,-68.99999999999997,R_E,0.06899999999999998,68.99999999999997,1322766285434.2527,1322766285434.2527,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.06799999999999998,-67.99999999999997,R_E,0.06799999999999998,67.99999999999997,1322326058146.1777,1322326058146.1777,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.06699999999999998,-66.99999999999997,R_E,0.06699999999999998,66.99999999999997,1321847893713.1785,1321847893713.1785,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.06599999999999998,-65.99999999999997,R_E,0.06599999999999998,65.99999999999997,1321329284120.3809,1321329284120.3809,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.06499999999999997,-64.99999999999997,R_E,0.06499999999999997,64.99999999999997,1320767551566.359,1320767551566.359,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.06399999999999997,-63.99999999999997,R_E,0.06399999999999997,63.99999999999997,1320159836705.3713,1320159836705.3713,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.06299999999999997,-62.99999999999997,R_E,0.06299999999999997,62.99999999999997,1319503086063.9016,1319503086063.9016,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.06199999999999997,-61.99999999999997,R_E,0.06199999999999997,61.99999999999997,1318794038573.8345,1318794038573.8345,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.06099999999999997,-60.99999999999997,R_E,0.06099999999999997,60.99999999999997,1318029211160.692,1318029211160.692,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.05999999999999997,-59.99999999999997,R_E,0.05999999999999997,59.99999999999997,1317204883321.2288,1317204883321.2288,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.05899999999999997,-58.99999999999997,R_E,0.05899999999999997,58.99999999999997,1316317080620.457,1316317080620.457,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.05799999999999997,-57.99999999999997,R_E,0.05799999999999997,57.99999999999997,1315361557033.5447,1315361557033.5447,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.05699999999999997,-56.999999999999964,R_E,0.05699999999999997,56.999999999999964,1314333776053.2686,1314333776053.2686,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.055999999999999966,-55.999999999999964,R_E,0.055999999999999966,55.999999999999964,1313228890478.6333,1313228890478.6333,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.054999999999999966,-54.999999999999964,R_E,0.054999999999999966,54.999999999999964,1312041720795.0461,1312041720795.0461,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.053999999999999965,-53.999999999999964,R_E,0.053999999999999965,53.999999999999964,1310766732050.8489,1310766732050.8489,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.052999999999999964,-52.999999999999964,R_E,0.052999999999999964,52.999999999999964,1309398009129.285,1309398009129.285,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.05199999999999996,-51.999999999999964,R_E,0.05199999999999996,51.999999999999964,1307929230308.941,1307929230308.941,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.05099999999999996,-50.999999999999964,R_E,0.05099999999999996,50.999999999999964,1306353638999.6157,1306353638999.6157,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.04999999999999996,-49.999999999999964,R_E,0.04999999999999996,49.999999999999964,1304664013533.9712,1304664013533.9712,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.04899999999999996,-48.99999999999996,R_E,0.04899999999999996,48.99999999999996,1302852634888.952,1302852634888.952,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.04799999999999996,-47.99999999999996,R_E,0.04799999999999996,47.99999999999996,1300911252204.1401,1300911252204.1401,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.04699999999999996,-46.99999999999996,R_E,0.04699999999999996,46.99999999999996,1298831045957.4238,1298831045957.4238,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.04599999999999996,-45.99999999999996,R_E,0.04599999999999996,45.99999999999996,1296602588651.5742,1296602588651.5742,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.04499999999999996,-44.99999999999996,R_E,0.04499999999999996,44.99999999999996,1294215802858.4585,1294215802858.4585,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.043999999999999956,-43.99999999999996,R_E,0.043999999999999956,43.99999999999996,1291659916460.9795,1291659916460.9795,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.042999999999999955,-42.99999999999996,R_E,0.042999999999999955,42.99999999999996,1288923414926.3262,1288923414926.3262,5.783156647553642e-05,57.83156647553642,0.0,0.0
