case,Pe,Time_s,Time_norm,Porosity,RE_abs_f_low,RE_abs_f_high,RE_spectral_ratio_high_over_low,TTM_spectral_ratio_high_over_low,L_sigma_index,RE_abs,TTM_abs,RE_abs_norm,TTM_abs_norm,RE_spectral_ratio_high_over_low_norm,L_sigma_index_norm
Pe0p1,0.1,3519.2,0.24576791999553046,0.6743,600327688.3654728,2398311753.2864738,3.995004394710524,1.0609108244185803,1.8713729667522495e-07,1257950199.8802443,5.449615967141449e-07,0.8502180415053296,1.305052981992643,1.00753874939632,0.8422432891848344
Pe0p1,0.1,3969.2,0.27719425666238334,0.6898,593912218.309196,2374020328.910761,3.9972579376617987,1.0575454378615485,1.8665446696522286e-07,1244447792.5656607,6.125588871152089e-07,0.8410920917628794,1.466932362015829,1.0081070921620612,0.8400702318077469
Pe0p1,0.1,4419.2,0.30862059332923625,0.7056,585393058.2530596,2339498140.0211234,3.9964569224696573,1.052395211178839,1.8676587938221015e-07,1226026531.5381014,7.047877065716858e-07,0.8286416080518382,1.6877983763975213,1.0079050764030784,0.8405716623734681
Pe0p1,0.1,4869.2,0.34004692999608915,0.7221,565340745.5520334,2254907724.4773827,3.9885816513641736,1.0464170758484521,1.8528524291373286e-07,1182267249.1136458,8.24710343041643e-07,0.7990657699907281,1.9749844740550244,1.0059189357091451,0.8339078056679735
Pe0p1,0.1,5319.2,0.37147326666294206,0.7365,532798199.0004127,2111026597.7257178,3.96215040082011,1.0406242950993752,1.82389088979269e-07,1109635936.474073,9.750816876531363e-07,0.7499760267002085,2.335087961850716,0.999252983312846,0.8208731714230333
Pe0p1,0.1,5769.2,0.4028996033297949,0.75115,469797042.9567791,1783131332.3945107,3.7955354532926617,1.070121599015437,1.7773933187629173e-07,957157724.6569346,1.2685028530970375e-06,0.6469197001176906,3.037761635098893,0.9572327502225385,0.7999461473294945
Pe0p1,0.1,6219.2,0.4343259399966478,0.7653,378257445.3030298,1288409459.934407,3.4061707864130364,1.1536480543505203,1.7436421355503776e-07,728452476.8839793,2.0290431083573925e-06,0.4923433680323468,4.859074061584614,0.8590351136826573,0.7847558522531776
Pe0p1,0.1,6669.2,0.4657522766635007,0.7804,415071193.945348,1858016666.2218642,4.476380662702667,1.28189678855445,1.7032351118221368e-07,907853369.29177,3.785938910631376e-06,0.6135960816944463,9.066420266588324,1.128941680437905,0.7665699827468406
Pe0p1,0.1,7119.2,0.4971786133303536,0.79425,975525276.3401603,5582022205.631628,5.722068244682989,1.29729824405079,1.6603377845933848e-07,2500618784.30782,6.545590319536345e-06,1.6901076096240002,15.675126865671418,1.4431036648774545,0.7472633097189163
Pe0p1,0.1,7569.2,0.5286049499972065,0.8078,1061174555.3136058,4343093858.780445,4.092723329101067,0.9033242625985408,1.5792538082011727e-07,2266526152.5099897,4.058415533648807e-06,1.5318900752916182,9.718936758642549,1.0321834314093226,0.7107700845895167
Pe0p1,0.1,8019.2,0.5600312866640594,0.82375,829846961.3548187,3259534074.88775,3.92787372453132,0.862296999485606,1.4856190286908272e-07,1719646314.7961955,2.357473765842334e-06,1.162267251904779,5.645587114087571,0.9906084172124444,0.6686281566692066
Pe0p1,0.1,8469.2,0.5914576233309123,0.83965,670605585.6344461,2641950153.505997,3.939648297152942,0.8621601582400505,1.3646906231185807e-07,1390248851.5893884,1.5629323644649656e-06,0.9396354926577302,3.7428500562173164,0.9935779604223524,0.6142022672956906
Pe0p1,0.1,8919.2,0.6228839599977652,0.85615,554766253.9304672,2198610471.6206956,3.9631294370263963,0.8621621676820497,1.245112175330026e-07,1153457924.7551358,1.1070721936135947e-06,0.7795942461295163,2.651173727227627,0.9994998959110402,0.5603839494240598
Pe0p1,0.1,9369.2,0.6543102966646182,0.87075,434270140.0737356,1729361878.504479,3.9822260821590154,0.8601525050349865,1.0427739599014936e-07,905145566.6253194,7.116874988858952e-07,0.6117659435219879,1.7043217325185438,1.004316063317529,0.4693181880189052
Pe0p1,0.1,9819.2,0.6857366333314711,0.885,320533631.96996725,1280567847.2502887,3.995112273804307,0.8597368734938702,8.047037227580058e-08,669181601.0470461,4.186822103594167e-07,0.4522836200572836,1.002643985248448,1.0075659564670756,0.3621706214187884
Pe0p1,0.1,10269.2,0.717162969998324,0.8994,243684372.52612853,976364692.0377756,4.006677498094741,0.8607658651581264,6.343951912740489e-08,509462712.32459563,2.703342679657555e-07,0.3443334955023234,0.6473860629275976,1.0104827020990705,0.2855203650125373
Pe0p1,0.1,10719.2,0.7485893066651769,0.91685,160361667.63798085,645250503.7614386,4.02372033956458,0.8666600620336538,4.308223165622121e-08,335864892.0810436,1.4364157200665545e-07,0.22700293762243426,0.3439872883074496,1.0147809009204325,0.19389892416011695
Pe0p1,0.1,11169.2,0.7800156433320298,0.9327,110946500.50962062,448658948.8013527,4.043921590500708,0.880792259875236,3.0471581412915875e-08,232834799.59634528,9.072642721977109e-08,0.15736739604313132,0.2172681434849949,1.0198756495348211,0.13714254406708784
Pe1,1.0,0.1,7.404116688879017e-05,0.545,707294238.7853544,2804501160.85173,3.965112405931563,1.0686647312335011,2.2218912441236055e-07,1479561893.0749397,4.1754759187499094e-07,1.0,1.0,1.0,1.0
Pe1,1.0,0.2,0.00014808233377758035,0.545,707294383.5192797,2804501783.839429,3.9651124753530333,1.069131525688134,2.221891472230933e-07,1479562201.774577,4.175515942412158e-07,1.0000002086425979,1.0000095854132625,1.0000000175080712,1.000000102663588
Pe1,1.0,0.4,0.0002961646675551607,0.545,707297130.5833373,2804513280.3465376,3.9651133294341787,1.069002279784188,2.2218957904637655e-07,1479568069.7141895,4.1750654021883793e-07,1.000004174640668,0.999901683887174,1.0000002329070456,1.000002046157827
Pe1,1.0,0.8,0.0005923293351103214,0.5452,706339280.7983819,2800815009.389087,3.9652544967105605,1.0696206915508222,2.2179814937758455e-07,1477579500.4751415,4.1664490582714547e-07,0.9986601489203819,0.9978381241673746,1.0000358352461294,0.9982403502610218
Pe1,1.0,1.6,0.0011846586702206428,0.5456,704018152.5164402,2791764803.2411604,3.9654727555849028,1.0694664016811337,2.2091588291365478e-07,1472744491.848109,4.1430854668823717e-07,0.9953922838519028,0.9922426922109432,1.0000908800599955,0.9942695597632278
Pe1,1.0,3.2,0.0023693173404412855,0.54655,702493852.1463928,2785798163.8582683,3.9655836920801057,1.0690331224256537,2.2041405688911153e-07,1469560817.0829256,4.13630742685984e-07,0.9932405152911655,0.9906193946145914,1.0001188582063494,0.9920110062634988
Pe1,1.0,6.4,0.004738634680882571,0.5486,681033756.688977,2700746063.7930574,3.965656675997146,1.0689262699921276,2.1362500240239416e-07,1424647807.8234367,3.9066991255634997e-07,0.962884901599232,0.9356296627219255,1.0001372647254005,0.961455710163058
Pe1,1.0,12.8,0.009477269361765142,0.5536,636083458.1095501,2522953213.3917174,3.966387085257607,1.0695413768477648,1.9908607006257168e-07,1330631883.8219702,3.453193910269278e-07,0.8993418187167205,0.8270180399706689,1.0003214736924322,0.8960207687442345
Pe1,1.0,25.6,0.018954538723530284,0.5626,584374571.491242,2318907044.869331,3.968186088165686,1.068896507880224,1.822714328681793e-07,1222565784.4388633,2.9917513527807037e-07,0.8263025630499531,0.716505474105668,1.0007751816138994,0.820343630005499
