Time_s,Time_norm,RE_abs,TTM_abs,RE_real,RE_imag,TTM_real,TTM_imag,case,Pe,RE_phase_rad,TTM_phase_rad
175.6,0.13001628905671553,444650671.4660944,6.126738374884882e-08,440317947.6597174,61921923.45190005,-2.541428428672163e-08,5.574770368026292e-08,Pe1,1.0,0.13971380064897532,1.9985296049590069
200.6,0.1485265807789131,330539911.89726025,3.8440886815401855e-08,326109515.59042513,53937159.71783139,-1.856732862166767e-08,3.3659413052065196e-08,Pe1,1.0,0.16391195050581361,2.0748852549829158
225.6,0.16703687250111063,229217751.73031116,2.1924503481144046e-08,224737951.5043046,45095796.499756,-1.1378700799437983e-08,1.8740571523077058e-08,Pe1,1.0,0.19802957769227536,2.1164707450047477
250.6,0.18554716422330816,135276837.8734557,9.51021943454197e-09,131284004.37768893,32624117.759721424,-5.636703704933456e-09,7.659754893985136e-09,Pe1,1.0,0.24356670704457106,2.205202885738152
275.6,0.20405745594550573,73861705.17450728,3.977987965530012e-09,70646110.246715,21556405.041073665,-2.351354777264077e-09,3.2086631118487664e-09,Pe1,1.0,0.29615858465537953,2.203207671138097
300.6,0.22256774766770326,31693571.149755064,1.2886757095391759e-09,29601850.798159134,11323112.714625427,-9.756119675323325e-10,8.419420248235562e-10,Pe1,1.0,0.3653416743295751,2.429606190094959
325.6,0.24107803938990083,11552383.563441126,8.384365323886701e-10,10816156.334558379,4058118.793635464,-6.850950640289847e-10,4.833431204507405e-10,Pe1,1.0,0.3589376484160195,2.5271766086653944
350.6,0.25958833111209834,4429877.31770265,6.660818935345737e-10,3976575.8648880445,-1952090.530863344,2.220440083522456e-11,6.657116894558423e-10,Pe1,1.0,-0.45633900288649515,1.537454307361856
375.6,0.2780986228342959,10166002.986473449,1.0891612936239688e-09,4510287.666582332,-9110703.69870859,3.073309243946039e-11,1.088727606225609e-09,Pe1,1.0,-1.111113573605089,1.5425753714427295
400.6,0.29660891455649346,9724792.318041788,1.2518631418012414e-09,9601323.412550637,1544724.6863605112,-1.1439545664408576e-09,5.08457742314526e-10,Pe1,1.0,0.1595196533191815,2.723343877198248
425.6,0.315119206278691,3021092.331683786,2.3881849850430137e-10,2552038.9018987785,1616816.7242312443,-2.387580367913945e-10,-5.373555188894933e-12,Pe1,1.0,0.5647163221741395,-3.119090172655301
450.6,0.33362949800088854,1020265.1923007644,8.669909828956925e-11,810197.8434385168,620097.1835995485,8.664855691351865e-11,-2.9599373353348888e-12,Pe1,1.0,0.6532624914716624,-0.03414698300910192
475.6,0.35213978972308607,127829.32321836652,4.675269575052603e-11,98549.52788039025,81414.53450716157,4.627133609170923e-11,6.691637783782165e-12,Pe1,1.0,0.6904709132139105,0.14362162619280985
500.6,0.3706500814452836,381818.91641898215,4.924549094062584e-11,-288918.69733887154,-249623.05835674563,-4.864087194785336e-11,-7.693110823054235e-12,Pe1,1.0,-2.429032152139728,-2.984730562035303
525.6,0.38916037316748114,535875.5674253264,1.8513676625901896e-11,-400247.98777998454,-356320.32224038104,1.845284323793445e-11,1.4995994947595357e-12,Pe1,1.0,-2.4141911074186257,0.08108838559253215
550.6,0.4076706648896787,588398.9179693772,3.48807242110788e-11,-434902.23019482946,-396324.7870611898,3.487278709480976e-11,7.440710513175677e-13,Pe1,1.0,-2.4025714493437924,0.0213334875100182
575.6,0.42618095661187627,545579.9923059132,2.693575597272931e-11,-399557.17265937035,-371499.1167970261,2.6933044131415848e-11,-3.822088926609822e-13,Pe1,1.0,-2.392567556014512,-0.01419012409585391
600.6,0.4446912483340738,490420.22187248943,2.5303179160710823e-11,-357503.2286940973,-335713.32337987085,-2.4091816954606703e-11,-7.735323617325622e-12,Pe1,1.0,-2.3876171864560263,-2.830913231992014
625.6,0.46320154005627134,456529.2254452806,2.267378080260432e-11,-332065.5902628945,-313291.2023166678,-2.1431853787497205e-11,-7.401079591241386e-12,Pe1,1.0,-2.3852777732754062,-2.8090835027819137
650.6,0.4817118317784689,423070.0549074703,1.928074341286757e-11,-307101.3930758577,-290993.1369126726,-1.821219373774597e-11,-6.329539146860745e-12,Pe1,1.0,-2.3831206068083017,-2.807107456958555
675.6,0.5002221235006664,386317.3920566691,7.749366890857685e-12,-279880.8795744391,-266285.22425043513,6.7282791925703e-12,-3.844859726433055e-12,Pe1,1.0,-2.381082245147632,-0.5191605405006156
700.6,0.518732415222864,351580.8833387654,5.78269662461476e-12,-254240.62894004604,-242839.08278000966,-3.652907093852545e-12,-4.482839503708859e-12,Pe1,1.0,-2.379127526963419,-2.254535541278337
725.6,0.5372427069450615,318133.45381382573,8.838416322470029e-12,-229622.3480106804,-220187.3559711719,-7.6842468331834e-12,-4.366915810502362e-12,Pe1,1.0,-2.3771669338927044,-2.624812277720489
750.6,0.555752998667259,268992.41096091905,9.635948837934987e-12,-193709.25455974665,-186637.7289094443,-8.776277960679043e-12,-3.978499109488389e-12,Pe1,1.0,-2.3747846494763127,-2.7159777687771722
775.6,0.5742632903894566,246763.3362223958,9.080524155730195e-12,-177488.68748322013,-171434.85619643098,8.562723330675911e-12,-3.022530083406612e-12,Pe1,1.0,-2.373542771952301,-0.33933336811107045
800.6,0.5927735821116541,235703.70424663913,4.207347732291131e-12,-169413.72156926637,-163875.64535231653,2.3627752219491493e-12,-3.4812452069566245e-12,Pe1,1.0,-2.3728093814950277,-0.9744985163982189
825.6,0.6112838738338516,226701.3800457015,5.781712250821473e-12,-162847.16716168378,-157715.93407782295,-4.566280418781566e-12,-3.5464460644920495e-12,Pe1,1.0,-2.3722000594123864,-2.48124649924399
850.6,0.6297941655560492,217202.3413557139,5.354957269412153e-12,-155922.20399812146,-151212.18003445442,-4.149977440993471e-12,-3.384265739636198e-12,Pe1,1.0,-2.371528672997997,-2.4574776049542137
875.6,0.6483044572782468,208702.21810150682,3.797835680576287e-12,-149736.79297774477,-145380.56496392126,-3.510817243259182e-13,-3.781573413210788e-12,Pe1,1.0,-2.370954420603756,-1.663371077893783
900.6,0.6668147490004444,202413.96657986613,4.61091045440268e-12,-145151.62108372894,-141075.93970397906,-1.8038037618751404e-12,-4.243440491766677e-12,Pe1,1.0,-2.3704328323817627,-1.9727351476847967
925.6,0.6853250407226419,197865.45121302895,6.129676792090047e-12,-141867.34362097288,-137928.94401707116,-4.7365394487367825e-12,-3.890775196030682e-12,Pe1,1.0,-2.370269514417212,-2.453915552868457
950.6,0.7038353324448394,193038.83224062002,4.08623349254683e-12,-138382.03065521273,-134589.76314921578,-8.478802608499625e-13,-3.997299490765292e-12,Pe1,1.0,-2.3700861216658247,-1.7798116681693747
975.6,0.722345624167037,186984.58992586218,4.248700979671092e-12,-134012.3909992432,-130399.06413931354,-2.1212127395744033e-12,-3.681292779462854e-12,Pe1,1.0,-2.3698591854570776,-2.0935425427791032
1000.6,0.7408559158892345,182185.8896130442,5.1163786014905666e-12,-130550.76696349352,-127075.55083232939,-3.5085334316544388e-12,-3.723912344934249e-12,Pe1,1.0,-2.369683039797604,-2.326423747864099
1025.6,0.7593662076114319,177663.61675251008,3.989508106911055e-12,-127288.76000599231,-123943.26239743599,1.4580010187386507e-12,-3.713543855196285e-12,Pe1,1.0,-2.3695100693534874,-1.1966706299353762
1050.6,0.7778764993336295,172051.11903445533,6.038240334849982e-12,-123242.22162430645,-120053.91443061593,4.489720245073197e-12,-4.037667453170096e-12,Pe1,1.0,-2.3692983756600428,-0.7324358660656449
1075.6,0.796386791055827,167102.37093737742,4.089148498039208e-12,-119675.2159950515,-116623.51842330366,1.9881581291142514e-12,-3.573284580418027e-12,Pe1,1.0,-2.3691083466116662,-1.063056491510121
1100.6,0.8148970827780245,159727.79033815305,3.4637236966759923e-12,-114363.38892788878,-111507.76779775224,-8.561769731771548e-13,-3.3562393891848666e-12,Pe1,1.0,-2.368836516029888,-1.8205692854163185
1125.6,0.8334073745002221,150718.36405756042,3.4856437572670864e-12,-107878.19956388656,-105253.59529746046,-1.9476955198433525e-12,-2.890708315371363e-12,Pe1,1.0,-2.36850833388653,-2.163705980699103
1150.6,0.8519176662224196,146918.91785627216,3.2049182410030067e-12,-105144.68873551261,-102614.63275171927,8.799935982785029e-13,-3.0817385026154733e-12,Pe1,1.0,-2.3683717100073887,-1.2926476104264957
1175.6,0.8704279579446172,141735.4116529655,3.1526339344230448e-12,-101416.45486688388,-99013.27991067102,1.0361823309876826e-12,-2.977486675272395e-12,Pe1,1.0,-2.3681840276052353,-1.2358992713496042
1200.6,0.8889382496668148,138429.76559077887,3.7361215789793415e-12,-99039.63768639835,-96715.82170702437,2.2196942736234308e-12,-3.005255693707016e-12,Pe1,1.0,-2.368064947535652,-0.934628556147971
1225.6,0.9074485413890123,134966.21811220318,4.978020715087228e-12,-96550.08893581983,-94307.79584952712,-4.4182946587785306e-12,-2.2933300128953668e-12,Pe1,1.0,-2.3679424456492413,-2.662818921822455
1250.6,0.9259588331112099,131727.3155317545,2.7839916200302143e-12,-94222.66142352133,-92055.28627662221,-9.952091847699276e-13,-2.600032311135389e-12,Pe1,1.0,-2.3678291328178482,-1.936359851418214
1275.6,0.9444691248334074,125837.75945598494,3.1390031672242608e-12,-89992.02027366511,-87957.81939069758,1.7475259124263601e-12,-2.607583952482136e-12,Pe1,1.0,-2.36762530849124,-0.9803718948170371
1300.6,0.9629794165556049,119055.16291822062,3.1766991673887577e-12,-85122.25983098443,-83236.60672294631,-2.235296889197756e-12,-2.2571808561192568e-12,Pe1,1.0,-2.3673942226703453,-2.351323282126467
1325.6,0.9814897082778025,112440.67042236566,2.5107362933133754e-12,-80375.5346339421,-78630.00570608545,-1.3083476383512626e-12,-2.142900649069308e-12,Pe1,1.0,-2.3671718360775706,-2.1189369679426715
