Time_s,Porosity,frequency_Hz,k_dyn_abs,L_abs,sigma_abs,omega_t,sigma_f,C_molL,pH,case,Pe,Time_norm
3519.2,0.6743,235602.97940509813,3.678326602986716e-13,1.990246575844958e-09,0.007272814740828382,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,243819.2602663455,3.557506009864926e-13,1.956143751570301e-09,0.00727281307099827,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,252322.07091325754,3.4406057453255216e-13,1.9226204630766058e-09,0.007272811372373695,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,261121.4036184286,3.3275008556703246e-13,1.889666868130768e-09,0.007272809644460612,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,270227.59911913675,3.2180702689885264e-13,1.8572732912351892e-09,0.00727280788675663,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,279651.35876950115,3.1121966787641e-13,1.8254302208414269e-09,0.007272806098750866,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,289403.757116421,3.009766430824045e-13,1.7941283066072525e-09,0.007272804279923824,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,299496.25491408375,2.910669413534671e-13,1.7633583566966825e-09,0.007272802429747246,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,309940.71259233245,2.8147989511559857e-13,1.7331113351225862e-09,0.007272800547683971,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,320749.40419472224,2.722051700266761e-13,1.7033783591314083e-09,0.0072727986331878065,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,331935.03180264105,2.632327549175398e-13,1.6741506966295344e-09,0.007272796685703365,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,343510.7404624551,2.545529520234044e-13,1.6454197636508374e-09,0.007272794704665934,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,355490.13363320846,2.461563674975863e-13,1.6171771218649285e-09,0.0072727926895013225,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,367887.2891730403,2.3803390219974697e-13,1.5894144761255874e-09,0.007272790639625708,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,380716.7758831019,2.3017674275107947e-13,1.5621236720589028e-09,0.007272788554445488,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,393993.67062841705,2.2257635284906952e-13,1.5352966936905821e-09,0.007272786433357134,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,407733.5760558058,2.152244648346674e-13,1.5089256611119474e-09,0.007272784275747023,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,421952.63892968884,2.0811307150490109e-13,1.4830028281840728e-09,0.007272782080991289,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,436667.56910733244,2.0123441816414882e-13,1.4575205802795495e-09,0.007272779848455664,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,451895.6591758163,1.9458099490747822e-13,1.4324714320613693e-09,0.007272777577495312,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,467654.8047738141,1.881455291296303e-13,1.4078480252983837e-09,0.0072727752674546725,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,483963.52562206396,1.81920978253402e-13,1.3836431267168315e-09,0.007272772917667292,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,500840.9872872381,1.7590052267134926e-13,1.3598496258874026e-09,0.00727277052745566,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,518307.0237048036,1.7007755889488777e-13,1.3364605331473096e-09,0.007272768096131041,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,536382.1604873213,1.6444569290503716e-13,1.313468977556874e-09,0.007272765622993302,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,555087.6390455909,1.589987336991959e-13,1.2908682048900825e-09,0.0072727631073307465,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,574445.4415509806,1.5373068702848843e-13,1.268651575658613e-09,0.007272760548419932,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,594478.3167682793,1.4863574932036928e-13,1.2468125631688166e-09,0.007272757945525506,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,615209.8067894295,1.4370830178130796e-13,1.225344751611155e-09,0.007272755297900025,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,636664.2746995509,1.3894290467451633e-13,1.2042418341815862e-09,0.007272752604783768,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,658866.9332077848,1.343342917678093e-13,1.1834976112343888e-09,0.007272749865404573,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
