z_m,z_mm,offset_D_mm,r_mm,theta_deg,pride_signed_peak,pride_peak_abs,pride_signed_norm,pride_abs_norm,pride_signed_side_norm,pride_abs_side_norm,dipole_signed,dipole_abs,dipole_signed_norm,dipole_abs_norm,dipole_signed_side_norm,dipole_abs_side_norm,side,snapshot_index,snapshot_Time_s,snapshot_Porosity
0.09000000000000016,90.00000000000016,45.0,100.6230589874907,26.56505117707795,2279287480256010.5,2279287480256010.5,0.6252619501966101,0.6252619501966101,0.8320250130549752,0.8320250130549752,88.33848799999146,88.33848799999146,0.4647678943494751,0.4647678943494751,0.4647678943494751,0.4647678943494751,porous/transmitted,24,5769.2,0.75115
0.08900000000000016,89.00000000000016,45.0,99.72963451251603,26.821981201581448,2288386821443755.0,2288386821443755.0,0.6277581126446724,0.6277581126446724,0.8353466122547718,0.8353466122547718,89.7257969186219,89.7257969186219,0.47206682666677013,0.47206682666677013,0.47206682666677013,0.47206682666677013,porous/transmitted,24,5769.2,0.75115
0.08800000000000016,88.00000000000016,45.0,98.83825170448952,27.083550864368604,2297581992154534.5,2297581992154534.5,0.630280563375796,0.630280563375796,0.8387031928076645,0.8387031928076645,91.13968175128032,91.13968175128032,0.4795055806165477,0.4795055806165477,0.4795055806165477,0.4795055806165477,porous/transmitted,24,5769.2,0.75115
0.08700000000000016,87.00000000000016,45.0,97.94896630388719,27.34987578006983,2306871957903696.5,2306871957903696.5,0.6328290186066071,0.6328290186066071,0.8420943770881391,0.8420943770881391,92.58053399582515,92.58053399582515,0.48708621595372803,0.48708621595372803,0.48708621595372803,0.48708621595372803,porous/transmitted,24,5769.2,0.75115
0.08600000000000016,86.00000000000016,45.0,97.06183596038159,27.621074983075477,2316255501801756.0,2316255501801756.0,0.6354031445158133,0.6354031445158133,0.8455197208861088,0.8455197208861088,94.04873220492735,94.04873220492735,0.4948107243257998,0.4948107243257998,0.4948107243257998,0.4948107243257998,porous/transmitted,24,5769.2,0.75115
0.08500000000000016,85.00000000000016,45.0,96.17692030835687,27.89727103094759,2325731210774563.5,2325731210774563.5,0.6380025534640728,0.6380025534640728,0.8489787083767608,0.8489787083767608,95.54463960508751,95.54463960508751,0.5026810167459542,0.5026810167459542,0.5026810167459542,0.5026810167459542,porous/transmitted,24,5769.2,0.75115
0.08400000000000016,84.00000000000016,45.0,95.29428104561168,28.178590109959128,2335297460841118.0,2335297460841118.0,0.6406267999553537,0.6406267999553537,0.8524707467464088,0.8524707467464088,97.06860147877764,97.06860147877764,0.5106989098199665,0.5106989098199665,0.5106989098199665,0.5106989098199665,porous/transmitted,24,5769.2,0.75115
0.08300000000000016,83.00000000000016,45.0,94.4139820153775,28.4651621426548,2344952401385310.0,2344952401385310.0,0.6432753763223048,0.6432753763223048,0.8559951604510916,0.8559951604510916,98.62094228952235,98.62094228952235,0.5188661106206259,0.5188661106206259,0.5188661106206259,0.5188661106206259,porous/transmitted,24,5769.2,0.75115
0.08200000000000016,82.00000000000016,45.0,93.536089291781,28.75712089730237,2354693938353368.5,2354693938353368.5,0.6459477081169218,0.6459477081169218,0.8595511850830148,0.8595511850830148,100.20196252823891,100.20196252823891,0.5271842000956493,0.5271842000956493,0.5271842000956493,0.5271842000956493,porous/transmitted,24,5769.2,0.75115
0.08100000000000016,81.00000000000016,45.0,92.66067126888314,29.0546040990771,2364519716304189.0,2364519716304189.0,0.6486431491865313,0.6486431491865313,0.8631379608182496,0.8631379608182496,101.81193525757462,101.81193525757462,0.5356546148866914,0.5356546148866914,0.5356546148866914,0.5356546148866914,porous/transmitted,24,5769.2,0.75115
0.08000000000000015,80.00000000000016,45.0,91.78779875342923,29.357753542791222,2374427099234922.5,2374427099234922.5,0.6513609764138012,0.6513609764138012,0.8667545254173576,0.8667545254173576,103.45110232932312,103.45110232932312,0.5442786274283553,0.5442786274283553,0.5442786274283553,0.5442786274283553,porous/transmitted,24,5769.2,0.75115
0.07900000000000015,79.00000000000016,45.0,90.91754506144578,29.666715206946403,2384413150098748.5,2384413150098748.5,0.6541003840979854,0.6541003840979854,0.8703998067486135,0.8703998067486135,105.11967024827271,105.11967024827271,0.5530573241870022,0.5530573241870022,0.5530573241870022,0.5530573241870022,porous/transmitted,24,5769.2,0.75115
0.07800000000000015,78.00000000000016,45.0,90.04998611882193,29.981639368849287,2394474608926439.0,2394474608926439.0,0.6568604779531573,0.6568604779531573,0.8740726148015586,0.8740726148015586,106.81780565403852,106.81780565403852,0.5619915818896939,0.5619915818896939,0.5619915818896939,0.5619915818896939,porous/transmitted,24,5769.2,0.75115
0.07700000000000015,77.00000000000016,45.0,89.18520056601332,30.302680720488052,2404607869457003.5,2404607869457003.5,0.659640268697447,0.659640268697447,0.8777716331563146,0.8777716331563146,108.54563039057115,108.54563039057115,0.5710820415838114,0.5710820415838114,0.5710820415838114,0.5710820415838114,porous/transmitted,24,5769.2,0.75115
0.07600000000000015,76.00000000000016,45.0,88.3232698670063,30.62999848482064,2414808954176748.5,2414808954176748.5,0.6624386652056716,0.6624386652056716,0.8814954098719079,0.8814954098719079,110.30321613112412,110.30321613112412,0.5803290803578455,0.5803290803578455,0.5803290803578455,0.5803290803578455,porous/transmitted,24,5769.2,0.75115
0.07500000000000015,75.00000000000016,45.0,87.46427842267964,30.96375653207347,2425073487659005.5,2425073487659005.5,0.6652544671957977,0.6652544671957977,0.8852423477542758,0.8852423477542758,112.09057852451531,112.09057852451531,0.5897327805436121,0.5897327805436121,0.5897327805436121,0.5897327805436121,porous/transmitted,24,5769.2,0.75115
0.07400000000000015,74.00000000000014,45.0,86.60831368869862,31.30412349559091,2435396668089831.5,2435396668089831.5,0.668086357417774,0.668086357417774,0.8890106939620838,0.8890106939620838,113.90767082655302,113.90767082655302,0.5992928962098072,0.5992928962098072,0.5992928962098072,0.5992928962098072,porous/transmitted,24,5769.2,0.75115
0.07300000000000015,73.00000000000014,45.0,85.75546629807351,31.651272886712572,2445773236857258.0,2445773236857258.0,0.6709328933111496,0.6709328933111496,0.8927985289056662,0.8927985289056662,115.7543769785362,115.7543769785362,0.6090088167464993,0.6090088167464993,0.6090088167464993,0.6090088167464993,porous/transmitted,24,5769.2,0.75115
